date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000218.0,-24.61,20000321.0,0.6,-25.5,43.0,-26.8,-26.5,-27.5,-25.0
2000-01-31,20000321.0,-27.448,20000419.0,0.7,-28.003,42.0,-26.5,-26.467,-28.5,-24.4
2000-02-29,20000419.0,,,0.7,-29.241,39.0,-28.5,-28.592,-30.5,-27.0
2000-03-31,20000519.0,-30.6,20000620.0,0.6,-30.2,44.0,-29.5,-29.474,-30.5,-28.3
2000-04-30,20000620.0,-30.5,20000719.0,0.7,-30.4,47.0,-29.1,-29.375,-31.2,-28.0
2000-05-31,20000719.0,-30.3,20000818.0,1.2,-31.0,43.0,-30.5,-29.147,-35.4,30.0
2000-06-30,20000818.0,-29.8,20000920.0,1.2,-30.6,45.0,-31.5,-30.182,-37.5,32.0
2000-07-31,20000920.0,-31.7,20001019.0,0.8,-31.9,40.0,-31.0,-30.982,-33.0,-29.0
2000-08-31,20001019.0,-29.8,20001121.0,0.7,-29.4,42.0,-32.0,-30.433,-34.2,33.0
2000-09-30,20001121.0,-33.7,20001219.0,0.9,-34.3,41.0,-30.7,-30.56,-32.0,-28.0
2000-10-31,20001219.0,-33.6,20010119.0,0.9,-33.2,40.0,-33.0,-33.177,-35.5,-30.5
2000-11-30,20010119.0,-33.1,20010221.0,0.8,-33.0,43.0,-33.0,-33.082,-34.7,-31.5
2000-12-31,20010221.0,-33.2,20010320.0,0.8,-33.0,40.0,-32.2,-32.251,-33.7,-30.0
2001-01-31,20010320.0,,,0.9,-33.3,46.0,-33.0,-33.3,-36.0,-31.5
2001-02-28,20010418.0,-26.9,20010518.0,0.6,-27.0,40.0,-33.0,-32.972,-34.9,-31.5
2001-03-31,20010518.0,-33.1,20010621.0,1.1,-31.2,43.0,-29.0,-29.1,-31.9,-26.5
2001-04-30,20010621.0,-32.0,20010719.0,0.9,-32.2,49.0,-31.1,-31.145,-33.5,-30.0
2001-05-31,20010719.0,-28.5,20010817.0,0.9,-28.3,0.0,-32.2,-32.2,-33.7,-29.5
2001-06-30,20010817.0,-29.1,20010919.0,0.8,-29.4,45.0,-29.5,-29.4,-32.0,-26.7
2001-07-31,20010919.0,-29.2,20011019.0,1.0,-28.8,31.0,-29.4,-29.571,-32.0,-28.0
2001-08-31,20011019.0,,,0.6,-27.1,44.0,-28.6,-28.625,-30.0,-27.6
2001-09-30,20011120.0,-19.0,20011219.0,4.9,-18.7,49.0,-24.6,-22.1,-28.6,-14.9
2001-10-31,20011219.0,-29.3,20020118.0,2.1,-29.4,45.0,-27.5,-27.0,-30.0,-19.0
2001-11-30,20020118.0,-28.5,20020221.0,0.9,-27.9,51.0,-28.6,-28.845,-31.6,-27.5
