date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2015-09-30,20151028.0,-59.147,20151124.0,1.279,-58.633,25.0,-64.3,-63.952,-66.3,-61.0
2015-10-31,20151124.0,-61.276,20151229.0,1.476,-58.411,29.0,-60.9,-60.738,-63.7,-57.5
2015-11-30,20151229.0,,,1.454,-60.5,30.0,-60.72,-60.575,-62.5,-56.6
2015-12-31,20160129.0,,,1.32,-61.513,32.0,-60.0,-60.216,-63.5,-58.0
2016-01-31,20160226.0,,,1.187,-62.228,39.0,-61.2,-61.264,-64.0,-57.3
2016-02-29,20160328.0,-63.4,20160427.0,0.982,-62.864,31.0,-62.2,-62.162,-64.4,-60.0
2016-03-31,20160427.0,-57.09,20160525.0,1.436,-56.9,41.0,-62.8,-62.594,-65.9,-58.0
2016-04-30,20160525.0,,,1.704,-57.5,43.0,-60.0,-59.988,-63.4,-53.0
2016-05-31,20160627.0,,,1.478,-60.594,38.0,-59.45,-59.303,-65.0,-55.0
2016-06-30,20160728.0,-64.54,20160826.0,0.963,-63.3,36.0,-61.0,-61.064,-63.8,-58.6
2016-07-31,20160826.0,-58.78,20160929.0,1.29,-59.3,37.0,-63.0,-62.879,-66.0,-59.0
2016-08-31,20160929.0,,,1.3479999999999999,-58.4,38.0,-62.15,-61.859,-64.0,-59.0
2016-09-30,20161026.0,-56.54,20161104.0,1.623,-56.1,39.0,-60.5,-60.497,-64.8,-55.1
2016-10-31,20161125.0,-61.89,20161206.0,1.086,-62.0,38.0,-59.0,-59.055,-61.4,-56.5
2016-11-30,20161229.0,-66.627,20170106.0,1.22,-65.3,36.0,-61.55,-61.681,-65.0,-58.5
2016-12-31,20170126.0,-64.359,20170207.0,1.286,-65.0,39.0,-65.3,-64.921,-67.5,-61.8
2017-01-31,20170228.0,-68.838,20170307.0,1.168,-69.2,35.0,-66.0,-65.909,-68.4,-63.0
2017-02-28,20170328.0,-63.928,20170404.0,1.396,-64.8,39.0,-66.4,-66.491,-70.2,-63.5
2017-03-31,20170427.0,-65.1,20170525.0,1.891,-64.8,40.0,-65.2,-64.84,-66.8,-55.0
2017-04-30,20170525.0,-67.138,20170602.0,1.729,-67.6,39.0,-64.5,-64.167,-65.6,-55.0
2017-05-31,20170628.0,-66.325,20170706.0,1.308,-65.9,36.0,-66.0,-66.072,-70.0,-62.5
2017-06-30,20170727.0,-64.005,20170804.0,1.338,-63.9,31.0,-65.5,-65.535,-71.5,-63.4
2017-07-31,20170828.0,-63.858,20170906.0,0.939,-65.1,31.0,-64.5,-64.587,-67.3,-63.0
2017-08-31,20170928.0,-63.319,20171005.0,1.412,-62.9,35.0,-65.1,-65.014,-68.0,-61.0
2017-09-30,20171026.0,-64.112,20171103.0,0.87,-64.1,38.0,-64.0,-63.929,-65.6,-62.0
2017-10-31,20171128.0,-68.102,20171205.0,0.897,-68.3,37.0,-64.9,-64.762,-66.4,-63.0
2017-11-30,20171228.0,-69.994,20180105.0,1.209,-69.7,31.0,-67.9,-68.037,-72.0,-66.0
2017-12-31,20180126.0,-72.258,20180206.0,1.341,-71.6,38.0,-68.9,-68.957,-75.0,-66.8
2018-01-31,20180227.0,-75.264,20180307.0,1.373,-74.4,36.0,-72.25,-72.105,-75.0,-69.0
2018-02-28,20180328.0,-75.875,20180405.0,1.3559999999999999,-75.4,35.0,-74.4,-74.576,-78.3,-71.0
2018-03-31,20180426.0,-68.6,20180530.0,1.624,-68.0,35.0,-74.99,-74.488,-76.1,-69.0
2018-04-30,20180530.0,-67.335,20180606.0,0.964,-68.2,36.0,-71.0,-70.929,-73.0,-68.0
2018-05-31,20180627.0,-64.767,20180706.0,1.446,-64.8,32.0,-69.0,-68.581,-71.0,-65.0
2018-06-30,20180726.0,-67.92,20180803.0,2.798,-68.3,36.0,-67.0,-67.186,-80.0,-63.5
2018-07-31,20180828.0,-72.046,20180905.0,1.3719999999999999,-72.2,31.0,-69.0,-69.239,-72.5,-66.0
2018-08-31,20180927.0,-75.456,20181005.0,1.37,-75.8,36.0,-70.575,-70.757,-73.9,-68.0
2018-09-30,20181025.0,-76.251,20181102.0,1.663,-76.0,38.0,-75.05,-75.547,-79.4,-72.6
2018-10-31,20181128.0,-76.982,20181206.0,1.706,-77.2,35.0,-77.0,-76.629,-80.0,-70.0
2018-12-31,20190227.0,,,2.25,-79.5,36.0,-73.6,-74.0,-80.0,-70.1
2019-03-31,20190503.0,-71.873,20190530.0,2.887,-71.4,27.0,-73.0,-72.606,-76.1,-60.0
2019-04-30,20190530.0,,,1.371,-72.1,36.0,-72.7,-72.222,-73.7,-68.4
2019-05-31,20190626.0,,,1.2770000000000001,,8.0,-71.7,-71.838,-74.0,-70.0
