date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000107.0,,,0.1,4.1,42.0,4.1,4.1,4.0,4.2
2000-01-31,20000204.0,,,0.1,4.0,41.0,4.0,4.0,3.9,4.2
2000-02-29,20000303.0,,,,4.1,42.0,4.0,4.0,3.9,4.1
2000-03-31,20000407.0,,,,4.1,41.0,4.0,4.0,3.9,4.1
2000-04-30,20000505.0,,,0.1,3.9,45.0,4.0,4.0,3.9,4.1
2000-05-31,20000602.0,,,0.1,4.1,48.0,3.9,3.9,3.7,4.0
2000-06-30,20000707.0,,,0.1,4.0,46.0,4.0,4.0,3.9,4.2
2000-07-31,20000804.0,,,0.1,4.0,49.0,4.0,4.0,3.9,4.1
2000-08-31,20000901.0,,,,4.1,44.0,4.0,4.0,3.9,4.1
2000-09-30,20001006.0,,,,3.9,45.0,4.1,4.1,4.0,4.2
2000-10-31,20001103.0,,,0.1,3.9,45.0,4.0,4.0,3.8,4.1
2000-11-30,20001208.0,,,0.1,4.0,49.0,4.0,4.0,3.9,4.1
2000-12-31,20010105.0,,,,4.0,44.0,4.1,4.1,4.0,4.2
2001-01-31,20010202.0,,,0.1,4.2,46.0,4.1,4.1,3.9,4.2
2001-02-28,20010309.0,,,0.1,4.2,49.0,4.2,4.2,4.1,4.4
2001-03-31,20010406.0,,,,4.3,49.0,4.3,4.3,4.2,4.4
2001-04-30,20010504.0,,,,4.5,48.0,4.4,4.4,4.3,4.5
2001-05-31,20010601.0,,,,4.4,49.0,4.6,4.6,4.5,4.7
2001-06-30,20010706.0,,,,4.5,48.0,4.6,4.6,4.5,4.7
2001-07-31,20010803.0,,,0.1,4.5,51.0,4.7,4.7,4.5,4.8
2001-08-31,20010907.0,,,0.1,4.9,46.0,4.6,4.6,4.5,4.7
2001-09-30,20011005.0,,,0.1,4.9,49.0,5.0,5.0,4.8,5.1
2001-10-31,20011102.0,,,0.1,5.4,52.0,5.2,5.2,5.0,5.4
2001-11-30,20011207.0,5.6,20020104.0,0.1,5.7,51.0,5.6,5.6,5.4,5.7
2001-12-31,20020104.0,,,0.1,5.8,47.0,5.8,5.8,5.6,6.0
2002-01-31,20020201.0,,,,5.6,56.0,5.9,5.9,5.8,6.0
2002-02-28,20020308.0,,,0.1,5.5,65.0,5.8,5.8,5.6,6.0
2002-03-31,20020405.0,,,0.1,5.7,58.0,5.6,5.6,5.4,5.7
2002-04-30,20020503.0,,,0.1,6.0,60.0,5.8,5.8,5.5,6.0
2002-05-31,20020607.0,,,0.1,5.8,63.0,6.1,6.1,5.8,6.2
2002-06-30,20020705.0,,,0.1,5.9,56.0,5.9,5.9,5.7,6.0
2002-07-31,20020802.0,,,0.1,5.9,58.0,5.9,5.9,5.8,6.1
2002-08-31,20020906.0,,,0.1,5.7,60.0,6.0,6.0,5.8,6.1
2002-09-30,20021004.0,,,,5.6,60.0,5.9,5.9,5.8,6.0
2002-10-31,20021101.0,,,0.1,5.7,63.0,5.8,5.8,5.6,6.0
2002-11-30,20021206.0,,,0.1,6.0,60.0,5.8,5.8,5.6,5.9
2002-12-31,20030110.0,,,0.1,6.0,58.0,6.0,6.0,5.8,6.1
2003-01-31,20030207.0,,,0.1,5.7,65.0,6.0,6.0,5.9,6.1
2003-02-28,20030307.0,,,0.1,5.8,65.0,5.8,5.9,5.7,6.1
2003-03-31,20030404.0,,,0.1,5.8,67.0,5.9,5.9,5.8,6.1
2003-04-30,20030502.0,,,,6.0,68.0,5.9,5.9,5.8,6.0
2003-05-31,20030606.0,,,0.1,6.1,67.0,6.1,6.1,6.0,6.2
2003-06-30,20030703.0,,,0.1,6.4,69.0,6.2,6.2,6.0,6.3
2003-07-31,20030801.0,,,0.1,6.2,69.0,6.3,6.3,6.2,6.5
2003-08-31,20030905.0,,,0.1,6.1,65.0,6.2,6.2,6.1,6.3
2003-09-30,20031003.0,,,0.1,6.1,69.0,6.2,6.2,6.1,6.4
2003-10-31,20031107.0,,,0.1,6.0,69.0,6.1,6.1,6.0,6.3
2003-11-30,20031205.0,,,0.1,5.9,68.0,6.0,6.0,5.9,6.1
2003-12-31,20040109.0,,,,5.7,60.0,5.9,5.9,5.8,6.0
2004-01-31,20040206.0,,,0.1,5.6,68.0,5.7,5.7,5.6,5.9
2004-02-29,20040305.0,,,,5.6,64.0,5.6,5.6,5.6,5.7
2004-03-31,20040402.0,,,,5.7,69.0,5.6,5.6,5.5,5.7
2004-04-30,20040507.0,,,0.1,5.6,71.0,5.7,5.7,5.5,5.8
2004-05-31,20040604.0,,,0.1,5.6,71.0,5.6,5.6,5.4,5.7
2004-06-30,20040702.0,,,0.1,5.6,72.0,5.6,5.6,5.4,5.7
2004-07-31,20040806.0,,,,5.5,73.0,5.6,5.6,5.5,5.6
2004-08-31,20040903.0,,,,5.4,74.0,5.5,5.5,5.4,5.6
2004-09-30,20041008.0,,,,5.4,72.0,5.4,5.4,5.4,5.5
2004-10-31,20041105.0,,,,5.5,75.0,5.4,5.4,5.3,5.5
2004-11-30,20041203.0,,,,5.4,71.0,5.4,5.4,5.3,5.5
2004-12-31,20050107.0,5.4,20050204.0,,5.4,73.0,5.4,5.4,5.3,5.5
2005-01-31,20050204.0,,,,5.2,76.0,5.4,5.4,5.3,5.4
2005-02-28,20050304.0,5.4,20050401.0,0.1,5.4,67.0,5.2,5.2,5.1,5.3
2005-03-31,20050401.0,,,0.1,5.2,75.0,5.3,5.3,5.2,5.4
2005-04-30,20050506.0,,,0.1,5.2,79.0,5.2,5.2,5.1,5.3
2005-05-31,20050603.0,,,0.1,5.1,73.0,5.2,5.2,5.1,5.3
2005-06-30,20050708.0,,,,5.0,72.0,5.1,5.1,5.0,5.2
2005-07-31,20050805.0,,,,5.0,73.0,5.0,5.0,4.9,5.1
2005-08-31,20050902.0,,,,4.9,67.0,5.0,5.0,4.9,5.1
2005-09-30,20051007.0,5.1,20051104.0,0.1,5.1,68.0,5.0,5.0,4.9,5.2
2005-10-31,20051104.0,,,0.1,5.0,71.0,5.1,5.1,5.0,5.3
2005-11-30,20051202.0,,,0.1,5.0,67.0,5.0,5.0,4.9,5.1
2005-12-31,20060106.0,,,,4.9,60.0,5.0,5.0,4.9,5.1
2006-01-31,20060203.0,,,,4.7,71.0,4.9,4.9,4.8,5.0
2006-02-28,20060310.0,,,0.1,4.8,72.0,4.7,4.7,4.6,4.9
2006-03-31,20060407.0,,,0.1,4.7,73.0,4.8,4.8,4.7,4.9
2006-04-30,20060505.0,,,0.1,4.7,71.0,4.7,4.7,4.6,4.8
2006-05-31,20060602.0,,,,4.6,79.0,4.7,4.7,4.6,4.8
2006-06-30,20060707.0,,,0.1,4.6,76.0,4.6,4.6,4.5,4.8
2006-07-31,20060804.0,,,,4.8,73.0,4.6,4.6,4.5,4.8
