date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000128.0,1.0,20000427.0,0.1,1.1,45.0,0.9,0.89,0.7,1.2
2000-03-31,20000427.0,,,0.1,1.4,31.0,1.0,0.96,0.8,1.2
2000-06-30,20000727.0,,,0.1,1.0,44.0,1.0,1.03,0.7,1.6
2000-09-30,20001026.0,,,0.1,0.9,47.0,1.0,1.0,0.8,1.2
2000-12-31,20010125.0,0.9,20010426.0,0.1,0.8,43.0,1.1,1.1,0.9,1.4
2001-03-31,20010426.0,,,0.1,1.1,45.0,1.1,1.08,0.9,1.4
2001-06-30,20010726.0,,,0.1,0.9,47.0,1.0,0.99,0.8,1.5
2001-09-30,20011025.0,,,0.1,1.0,55.0,0.9,0.92,0.8,1.4
2001-12-31,20020131.0,,,0.1,0.9,48.0,1.0,0.98,0.8,1.4
2002-03-31,20020425.0,,,0.1,0.8,56.0,0.9,0.87,0.7,1.0
2002-06-30,20020725.0,,,0.1,1.0,55.0,0.8,0.84,0.7,1.3
2002-09-30,20021031.0,,,0.1,0.8,56.0,0.9,0.95,0.8,1.8
2002-12-31,20030130.0,,,0.1,0.7,53.0,0.9,0.9,0.7,1.2
2003-03-31,20030429.0,,,0.1,1.3,58.0,0.8,0.77,0.5,1.4
2003-06-30,20030731.0,0.9,20031030.0,0.2,0.9,56.0,0.9,0.95,0.8,2.2
2003-09-30,20031030.0,,,0.2,1.0,57.0,0.9,0.91,0.7,2.1
2003-12-31,20040129.0,0.8,20040429.0,0.1,0.7,54.0,0.9,0.89,0.7,1.7
2004-03-31,20040429.0,,,0.2,1.1,56.0,0.9,0.93,0.4,1.3
2004-06-30,20040729.0,,,0.1,0.9,56.0,0.9,0.95,0.8,1.9
2004-09-30,20041029.0,,,0.1,0.9,56.0,1.0,0.99,0.8,1.2
2004-12-31,20050128.0,,,0.1,0.7,57.0,0.8,0.86,0.7,1.3
2005-03-31,20050429.0,,,0.1,0.7,62.0,1.0,0.99,0.7,1.6
2005-06-30,20050729.0,,,0.1,0.7,54.0,0.8,0.84,0.7,1.0
2005-09-30,20051028.0,,,0.1,0.8,54.0,0.8,0.79,0.7,1.1
2005-12-31,20060131.0,,,0.1,0.8,61.0,0.9,0.88,0.7,1.1
2006-03-31,20060428.0,,,0.1,0.6,59.0,0.09,0.09,0.7,1.4
2006-06-30,20060728.0,,,0.1,0.9,54.0,0.8,0.8,0.7,1.1
2006-09-30,20061031.0,,,0.1,1.0,51.0,0.9,0.86,0.6,1.2
2006-12-31,20070131.0,0.9,20070427.0,0.1,0.8,64.0,1.0,0.97,0.8,1.5
2007-03-31,20070427.0,,,0.2,0.8,63.0,0.9,0.96,0.7,1.9
2007-06-30,20070731.0,,,0.1,0.9,61.0,0.9,0.88,0.7,1.1
2007-09-30,20071031.0,,,0.1,0.8,66.0,0.9,0.9,0.7,1.1
2007-12-31,20080131.0,,,0.1,0.8,61.0,0.8,0.81,0.6,1.4
2008-03-31,20080430.0,,,0.1,0.7,64.0,0.8,0.81,0.7,1.2
2008-06-30,20080731.0,,,0.1,0.7,61.0,0.7,0.73,0.6,0.9
2008-09-30,20081031.0,,,0.1,0.7,50.0,0.7,0.68,0.3,0.9
2008-12-31,20090130.0,0.6,20090430.0,0.1,0.5,51.0,0.7,0.69,0.4,0.8
2009-03-31,20090430.0,,,0.1,0.3,51.0,0.5,0.52,0.3,0.8
2009-06-30,20090731.0,,,0.1,0.4,54.0,0.3,0.3,0.1,0.5
2009-09-30,20091030.0,,,0.1,0.4,57.0,0.4,0.41,0.2,0.7
2009-12-31,20100129.0,0.4,,0.1,0.5,50.0,0.4,0.4,0.2,0.5
2010-03-31,20100430.0,,,0.1,0.6,57.0,0.5,0.45,0.3,0.6
2010-06-30,20100730.0,,,0.1,0.5,54.0,0.5,0.47,0.3,0.7
2010-09-30,20101029.0,,,0.1,0.4,57.0,0.5,0.48,0.3,0.6
2010-12-31,20110128.0,,,0.1,0.4,51.0,0.5,0.47,0.3,0.6
2011-03-31,20110429.0,,,0.16,0.6,46.0,0.5,0.47,-0.5,0.6
2011-06-30,20110729.0,,,0.05,0.7,49.0,0.5,0.5,0.4,0.7
2011-09-30,20111028.0,,,0.08,0.3,51.0,0.6,0.59,0.4,0.8
2011-12-31,20120131.0,0.5,20120427.0,0.09,0.4,52.0,0.4,0.43,0.3,0.7
2012-03-31,20120427.0,,,0.08,0.4,50.0,0.5,0.52,0.3,0.7
2012-06-30,20120731.0,,,0.08,0.5,49.0,0.5,0.49,0.3,0.8
2012-09-30,20121031.0,,,0.06,0.4,46.0,0.48,0.45,0.3,0.6
2012-12-31,20130131.0,0.4,20130430.0,0.1,0.5,45.0,0.5,0.48,0.0,0.7
2013-03-31,20130430.0,,,0.07,0.3,45.0,0.5,0.49,0.3,0.7
2013-06-30,20130731.0,,,0.09,0.5,42.0,0.4,0.44,0.3,0.8
2013-09-30,20131119.0,,,0.06,0.4,49.0,0.5,0.47,0.3,0.6
2013-12-31,20140131.0,,,0.06,0.5,48.0,0.4,0.41,0.2,0.5
2014-03-31,20140430.0,,,0.08,0.3,44.0,0.5,0.51,0.4,0.7
2014-06-30,20140731.0,,,0.06,0.7,50.0,0.5,0.47,0.3,0.6
2014-09-30,20141031.0,,,0.07,0.7,55.0,0.5,0.5,0.3,0.6
2014-12-31,20150130.0,0.5,20150430.0,0.11,0.6,60.0,0.6,0.56,0.3,0.8
2015-03-31,20150430.0,,,0.07,0.7,58.0,0.6,0.61,0.5,0.8
2015-06-30,20150731.0,,,0.08,0.2,57.0,0.6,0.61,0.4,0.8
2015-09-30,20151030.0,,,0.13,0.6,65.0,0.6,0.59,0.2,1.0
2015-12-31,20160129.0,0.5,20160429.0,0.11,0.6,60.0,0.6,0.6,0.04,0.9
2016-03-31,20160429.0,,,0.07,0.6,57.0,0.6,0.61,0.4,0.8
2016-06-30,20160729.0,,,0.09,0.6,55.0,0.6,0.61,0.4,1.1
2016-09-30,20161028.0,,,0.05,0.6,53.0,0.6,0.61,0.5,0.7
2016-12-31,20170131.0,,,0.06,0.5,59.0,0.6,0.62,0.5,0.8
2017-03-31,20170428.0,,,0.06,0.8,50.0,0.6,0.58,0.5,0.7
2017-06-30,20170728.0,,,0.06,0.5,54.0,0.6,0.61,0.4,0.7
2017-09-30,20171031.0,,,0.07,0.7,53.0,0.7,0.67,0.5,0.8
2017-12-31,20180131.0,,,0.08,0.6,54.0,0.6,0.58,0.4,0.8
2018-03-31,20180427.0,,,0.05,0.8,51.0,0.7,0.69,0.5,0.8
2018-06-30,20180731.0,,,0.07,0.6,52.0,0.7,0.68,0.6,0.8
2018-09-30,20181031.0,,,0.07,0.8,52.0,0.7,0.71,0.5,0.8
2018-12-31,20190131.0,,,0.06,0.7,50.0,0.8,0.76,0.6,0.9
2019-03-31,20190430.0,,,0.09,0.7,48.0,0.7,0.73,0.5,0.9
