date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2015-03-06,20150306.0,,,,922.0,,,,,
2015-03-13,20150313.0,,,,866.0,,,,,
2015-03-20,20150320.0,,,,825.0,,,,,
2015-03-27,20150327.0,,,,813.0,,,,,
2015-04-03,20150402.0,,,,802.0,,,,,
2015-04-10,20150410.0,,,,760.0,,,,,
2015-04-17,20150417.0,,,,734.0,,,,,
2015-04-24,20150424.0,,,,703.0,,,,,
2015-05-01,20150501.0,,,,679.0,,,,,
2015-05-08,20150508.0,,,,668.0,,,,,
2015-05-15,20150515.0,,,,660.0,,,,,
2015-05-22,20150522.0,,,,659.0,,,,,
2015-05-29,20150529.0,,,,646.0,,,,,
2015-06-05,20150605.0,,,,642.0,,,,,
2015-06-12,20150612.0,,,,635.0,1.0,,,,
2015-06-19,20150619.0,,,,631.0,,,,,
2015-06-26,20150626.0,,,,628.0,1.0,,,,
2015-07-03,20150702.0,,,,640.0,,,,,
2015-07-10,20150710.0,,,,645.0,,,,,
2015-07-17,20150717.0,,,,638.0,2.0,,,,
2015-07-24,20150724.0,,,,659.0,1.0,,,,
2015-07-31,20150731.0,,,,664.0,2.0,,,,
2015-08-07,20150807.0,,,,670.0,1.0,,,,
2015-08-14,20150814.0,,,,672.0,2.0,,,,
2015-08-21,20150821.0,,,,674.0,,,,,
2015-08-28,20150828.0,,,,675.0,1.0,,,,
2015-09-04,20150904.0,,,,662.0,,,,,
2015-09-11,20150911.0,,,,652.0,1.0,,,,
2015-09-18,20150918.0,,,,644.0,,,,,
2015-09-25,20150925.0,,,,640.0,,,,,
2015-10-02,20151002.0,,,,614.0,2.0,,,,
2015-10-09,20151009.0,,,,605.0,1.0,,,,
2015-10-16,20151016.0,,,,595.0,1.0,,,,
2015-10-23,20151023.0,,,,594.0,1.0,,,,
2015-10-30,20151030.0,,,,578.0,1.0,,,,
2015-11-06,20151106.0,,,,572.0,1.0,,,,
2015-11-13,20151113.0,,,,574.0,1.0,,,,
2015-11-20,20151120.0,,,,564.0,1.0,,,,
2015-11-27,20151125.0,,,,555.0,,,,,
2015-12-04,20151204.0,,,,545.0,1.0,,,,
2015-12-11,20151211.0,,,,524.0,1.0,,,,
2015-12-18,20151218.0,,,,541.0,2.0,,,,
2015-12-25,20151223.0,,,,538.0,1.0,,,,
2016-01-01,20151231.0,,,,536.0,1.0,,,,
2016-01-08,20160108.0,,,,516.0,,,,,
2016-01-15,20160115.0,,,,515.0,1.0,,,,
2016-01-22,20160122.0,,,,510.0,1.0,,,,
2016-01-29,20160129.0,,,,498.0,,,,,
2016-02-05,20160205.0,,,,467.0,1.0,,,,
2016-02-12,20160212.0,,,,439.0,,,,,
2016-02-19,20160219.0,,,,413.0,1.0,,,,
2016-02-26,20160226.0,,,,400.0,1.0,,,,
2016-03-04,20160304.0,,,,392.0,2.0,,,,
2016-03-11,20160311.0,,,,386.0,1.0,,,,
2016-03-18,20160318.0,,,,387.0,1.0,,,,
2016-03-25,20160324.0,,,,372.0,1.0,,,,
2016-04-01,20160401.0,,,,362.0,1.0,,,,
2016-04-08,20160408.0,,,,354.0,1.0,,,,
2016-04-15,20160415.0,,,,351.0,,,,,
2016-04-22,20160422.0,,,,343.0,1.0,,,,
2016-04-29,20160429.0,,,,332.0,1.0,,,,
2016-05-06,20160506.0,,,,328.0,1.0,,,,
2016-05-13,20160513.0,,,,318.0,1.0,,,,
2016-05-20,20160520.0,,,,318.0,,,,,
2016-05-27,20160527.0,,,,316.0,1.0,,,,
2016-06-03,20160603.0,,,,325.0,1.0,,,,
2016-06-10,20160610.0,,,,328.0,1.0,,,,
2016-06-17,20160617.0,,,,337.0,1.0,,,,
2016-06-24,20160624.0,,,,330.0,1.0,,,,
2016-07-01,20160701.0,,,,341.0,,,,,
2016-07-08,20160708.0,,,,351.0,,,,,
2016-07-15,20160715.0,,,,357.0,1.0,,,,
2016-07-22,20160722.0,,,,371.0,1.0,,,,
2016-07-29,20160729.0,,,,374.0,1.0,,,,
2016-08-05,20160805.0,,,,381.0,1.0,,,,
2016-08-12,20160812.0,,,,396.0,1.0,,,,
2016-08-19,20160819.0,,,,406.0,1.0,,,,
2016-08-26,20160826.0,,,,406.0,1.0,,,,
2016-09-02,20160902.0,,,,407.0,1.0,,,,
2016-09-09,20160909.0,,,,414.0,,,,,
2016-09-16,20160916.0,,,,416.0,1.0,,,,
2016-09-23,20160923.0,,,,418.0,,,,,
2016-09-30,20160930.0,,,,425.0,,,,,
2016-10-07,20161007.0,,,,428.0,1.0,,,,
2016-10-14,20161014.0,,,,432.0,1.0,,,,
2016-10-21,20161021.0,,,,443.0,1.0,,,,
2016-10-28,20161028.0,,,,441.0,,,,,
2016-11-04,20161104.0,,,,450.0,0.0,,,,
2016-11-11,20161111.0,,,,452.0,1.0,,,,
2016-11-18,20161118.0,,,,471.0,1.0,,,,
2016-11-25,20161123.0,,,,474.0,1.0,,,,
2016-12-02,20161202.0,,,,477.0,,,,,
2016-12-09,20161209.0,,,,498.0,1.0,,,,
2016-12-16,20161216.0,,,,510.0,1.0,,,,
2016-12-23,20161223.0,,,,523.0,1.0,,,,
2016-12-30,20161230.0,,,,525.0,1.0,,,,
2017-01-06,20170106.0,,,,529.0,1.0,,,,
2017-01-13,20170113.0,,,,522.0,1.0,,,,
2017-01-20,20170120.0,,,,551.0,1.0,,,,
2017-01-27,20170127.0,,,,566.0,1.0,,,,
2017-02-03,20170203.0,,,,583.0,1.0,,,,
2017-02-10,20170210.0,,,,591.0,,,,,
2017-02-17,20170217.0,,,,597.0,,,,,
2017-02-24,20170224.0,,,,602.0,,,,,
2017-03-03,20170303.0,,,,609.0,1.0,,,,
2017-03-10,20170310.0,,,,617.0,1.0,,,,
2017-03-17,20170317.0,,,,631.0,1.0,,,,
2017-03-24,20170324.0,,,,652.0,,,,,
2017-03-31,20170331.0,,,,662.0,,,,,
2017-04-07,20170407.0,,,,672.0,1.0,,,,
2017-04-14,20170413.0,,,,683.0,1.0,,,,
2017-04-21,20170421.0,,,,688.0,1.0,,,,
2017-04-28,20170428.0,,,,697.0,1.0,,,,
2017-05-05,20170505.0,,,,703.0,1.0,,,,
2017-05-12,20170512.0,,,,712.0,1.0,,,,
2017-05-19,20170519.0,,,,720.0,1.0,,,,
2017-05-26,20170526.0,,,,722.0,1.0,,,,
2017-06-02,20170602.0,,,,733.0,1.0,,,,
2017-06-09,20170609.0,,,,741.0,1.0,,,,
2017-06-16,20170616.0,,,,747.0,1.0,,,,
2017-06-23,20170623.0,,,,758.0,,,,,
2017-06-30,20170630.0,,,,756.0,1.0,,,,
2017-07-07,20170707.0,,,,763.0,1.0,,,,
2017-07-14,20170714.0,,,,765.0,2.0,,,,
2017-07-21,20170721.0,,,,764.0,1.0,,,,
2017-07-28,20170728.0,,,,766.0,1.0,,,,
2017-08-04,20170804.0,,,,765.0,2.0,,,,
2017-08-11,20170811.0,,,,768.0,1.0,,,,
2017-08-18,20170818.0,,,,763.0,2.0,,,,
2017-08-25,20170825.0,,,,759.0,1.0,,,,
2017-09-01,20170901.0,,,,759.0,2.0,,,,
2017-09-08,20170908.0,,,,756.0,1.0,,,,
2017-09-15,20170915.0,,,,749.0,2.0,,,,
2017-09-22,20170922.0,,,2.0,744.0,3.0,747.0,746.0,744.0,748.0
2017-09-29,20170929.0,,,,750.0,2.0,,,,
2017-10-06,20171006.0,,,,748.0,1.0,,,,
2017-10-13,20171013.0,,,,743.0,2.0,,,,
2017-10-20,20171020.0,,,,736.0,1.0,,,,
2017-10-27,20171027.0,,,,737.0,2.0,,,,
2017-11-03,20171103.0,,,,729.0,2.0,,,,
2017-11-10,20171110.0,,,,738.0,2.0,,,,
2017-11-17,20171117.0,,,,738.0,2.0,,,,
2017-11-24,20171122.0,,,,747.0,1.0,,,,
2017-12-01,20171201.0,,,,749.0,1.0,,,,
2017-12-08,20171208.0,,,,751.0,1.0,,,,
2017-12-15,20171215.0,,,,747.0,2.0,,,,
2017-12-22,20171222.0,,,,747.0,2.0,,,,
2017-12-29,20171229.0,,,0.0,747.0,3.0,750.0,750.0,750.0,750.0
2018-01-05,20180105.0,,,,742.0,1.0,,,,
2018-01-12,20180112.0,,,,752.0,2.0,,,,
2018-01-19,20180119.0,,,,747.0,2.0,,,,
2018-01-26,20180126.0,,,2.0,759.0,3.0,745.0,745.0,743.0,747.0
2018-02-02,20180202.0,,,4.0,765.0,3.0,759.0,759.0,754.0,764.0
2018-02-09,20180209.0,,,,791.0,2.0,,,,
2018-02-16,20180216.0,,,5.0,798.0,3.0,790.0,793.0,788.0,800.0
2018-02-23,20180223.0,,,,799.0,2.0,,,,
2018-03-02,20180302.0,,,,800.0,2.0,,,,
2018-03-09,20180309.0,,,,796.0,2.0,,,,
2018-03-16,20180316.0,,,,800.0,2.0,,,,
2018-03-23,20180323.0,,,,804.0,2.0,,,,
2018-03-30,20180329.0,,,0.0,797.0,3.0,808.0,808.0,807.0,808.0
2018-04-06,20180406.0,,,,808.0,2.0,,,,
2018-04-13,20180413.0,,,,815.0,2.0,,,,
2018-04-20,20180420.0,,,2.0,820.0,3.0,820.0,818.0,815.0,820.0
2018-04-27,20180427.0,,,,825.0,2.0,,,,
2018-05-04,20180504.0,,,,834.0,2.0,,,,
2018-05-11,20180511.0,,,,844.0,2.0,,,,
2018-05-18,20180518.0,,,,844.0,2.0,,,,
2018-05-25,20180525.0,,,2.0,859.0,3.0,846.0,845.0,843.0,847.0
2018-06-01,20180601.0,,,0.0,861.0,3.0,863.0,863.0,863.0,864.0
2018-06-08,20180608.0,,,1.0,862.0,3.0,865.0,865.0,863.0,866.0
2018-06-15,20180615.0,,,1.0,863.0,3.0,864.0,864.0,863.0,865.0
2018-06-22,20180622.0,,,,862.0,1.0,,,,
2018-06-29,20180629.0,,,3.0,858.0,3.0,862.0,862.0,858.0,866.0
2018-07-06,20180706.0,,,,863.0,2.0,,,,
2018-07-13,20180713.0,,,,863.0,2.0,,,,
2018-07-20,20180720.0,,,,858.0,1.0,,,,
2018-07-27,20180727.0,,,,861.0,2.0,,,,
2018-08-03,20180803.0,,,,859.0,2.0,,,,
2018-08-10,20180810.0,,,2.0,869.0,3.0,859.0,859.0,857.0,862.0
2018-08-17,20180817.0,,,,869.0,2.0,,,,
2018-08-24,20180824.0,,,,860.0,2.0,,,,
2018-08-31,20180831.0,,,3.0,862.0,3.0,862.0,860.0,856.0,863.0
2018-09-07,20180907.0,,,2.0,860.0,3.0,861.0,862.0,860.0,864.0
2018-09-14,20180914.0,,,2.0,867.0,3.0,859.0,860.0,858.0,862.0
2018-09-21,20180921.0,,,2.0,866.0,3.0,865.0,866.0,863.0,869.0
2018-09-28,20180928.0,,,1.0,863.0,3.0,865.0,866.0,865.0,868.0
2018-10-05,20181005.0,,,1.0,861.0,3.0,865.0,865.0,863.0,866.0
2018-10-12,20181012.0,,,1.0,869.0,3.0,859.0,860.0,859.0,861.0
2018-10-19,20181019.0,,,3.0,873.0,3.0,871.0,870.0,866.0,872.0
2018-10-26,20181026.0,,,0.0,875.0,3.0,875.0,875.0,874.0,875.0
2018-11-02,20181102.0,,,,874.0,2.0,,,,
2018-11-09,20181109.0,,,1.0,886.0,3.0,874.0,873.0,871.0,874.0
2018-11-16,20181116.0,,,,888.0,,,,,
2018-11-23,20181121.0,,,1.0,885.0,3.0,890.0,889.0,888.0,890.0
2018-11-30,20181130.0,,,,887.0,2.0,,,,
2018-12-07,20181207.0,,,,877.0,1.0,,,,
2018-12-14,20181214.0,,,,873.0,2.0,,,,
2018-12-21,20181221.0,,,,883.0,1.0,,,,
2018-12-28,20181228.0,,,1.0,885.0,3.0,881.0,882.0,881.0,883.0
2019-01-04,20190104.0,,,,877.0,2.0,,,,
2019-01-11,20190111.0,,,,873.0,2.0,,,,
2019-01-18,20190118.0,,,,852.0,2.0,,,,
2019-01-25,20190125.0,,,,862.0,2.0,,,,
2019-02-01,20190201.0,,,,847.0,2.0,,,,
2019-02-08,20190208.0,,,4.0,854.0,3.0,844.0,846.0,842.0,851.0
2019-02-15,20190215.0,,,,857.0,2.0,,,,
2019-02-22,20190222.0,,,,853.0,2.0,,,,
2019-03-01,20190301.0,,,,843.0,2.0,,,,
2019-03-08,20190308.0,,,5.0,834.0,4.0,840.0,842.0,837.0,850.0
2019-03-15,20190315.0,,,1.0,833.0,4.0,830.0,830.0,828.0,832.0
2019-03-22,20190322.0,,,1.0,824.0,3.0,830.0,830.0,828.0,831.0
2019-03-29,20190329.0,,,2.0,816.0,3.0,820.0,821.0,819.0,823.0
2019-04-05,20190405.0,,,2.0,831.0,3.0,811.0,811.0,809.0,813.0
