date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,19991222.0,,,0.6,105.4,19.0,105.0,104.8,104.0,106.5
2000-01-31,20000128.0,,,0.6,112.0,16.0,111.4,111.3,110.0,113.0
2000-02-29,20000303.0,,,1.1,111.3,19.0,111.2,111.1,109.0,114.0
2000-03-31,20000331.0,,,0.9,107.1,18.0,108.0,108.2,107.0,110.5
2000-04-30,20000428.0,,,,109.2,2.0,110.0,109.1,104.0,110.0
2000-05-31,20000526.0,,,0.9,110.7,23.0,110.5,110.1,107.5,111.5
2000-06-30,20000630.0,,,1.3,106.4,22.0,106.8,109.1,104.0,112.0
2000-07-31,20000728.0,,,0.5,108.3,21.0,108.0,108.0,106.0,110.0
2000-08-31,20000901.0,,,0.6,107.3,18.0,107.8,107.9,105.0,110.0
2000-09-30,20000929.0,,,0.4,106.8,20.0,108.8,108.5,108.0,109.0
2000-10-31,20001027.0,,,0.7,105.8,22.0,106.4,106.1,104.4,108.0
2000-11-30,20001122.0,,,0.8,107.6,23.0,106.6,105.4,104.0,107.7
2000-12-31,20001222.0,,,0.9,98.4,23.0,98.0,97.8,95.0,100.0
2001-01-31,20010202.0,,,0.6,94.7,23.0,94.0,93.9,92.0,95.0
2001-02-28,20010302.0,,,1.1,90.6,22.0,87.8,88.1,86.0,90.0
2001-03-31,20010330.0,,,1.5,91.5,31.0,91.0,90.7,85.0,92.5
2001-04-30,20010427.0,,,0.7,88.4,33.0,88.0,88.3,85.0,90.0
2001-05-31,20010525.0,,,0.9,92.0,28.0,92.6,92.5,90.0,94.0
2001-06-30,20010629.0,,,0.3,92.6,34.0,91.6,91.5,91.0,92.0
2001-07-31,20010727.0,,,0.3,92.4,34.0,93.7,93.7,93.0,94.0
