date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2001-05-18,20010523.0,,,,3400.0,0.0,,,,
2001-05-25,20010531.0,,,,-1800.0,0.0,,,,
2001-06-01,20010606.0,,,,1600.0,0.0,,,,
2001-06-08,20010613.0,,,,-8200.0,0.0,,,,
2001-06-15,20010620.0,,,,-700.0,0.0,,,,
2001-06-22,20010627.0,,,,,0.0,,,,
2001-06-29,20010705.0,,,,-4800.0,0.0,,,,
2001-07-06,20010711.0,,,,-2900.0,0.0,,,,
2001-07-13,20010718.0,,,,7000.0,0.0,,,,
2001-07-20,20010725.0,,,,1400.0,0.0,,,,
2001-07-27,20010801.0,,,,-1100.0,0.0,,,,
2001-08-03,20010808.0,,,,-6500.0,0.0,,,,
2001-08-10,20010815.0,,,,-2800.0,0.0,,,,
2001-08-17,20010822.0,,,,-4000.0,0.0,,,,
2001-08-24,20010829.0,,,,2700.0,0.0,,,,
2001-08-31,20010906.0,,,,-2000.0,0.0,,,,
2001-09-07,20010912.0,,,,800.0,0.0,,,,
2001-09-14,20010919.0,,,,-600.0,0.0,,,,
2001-09-21,20010926.0,,,,3200.0,0.0,,,,
2001-09-28,20011003.0,,,,1600.0,0.0,,,,
2001-10-05,20011011.0,,,,0.0,0.0,,,,
2001-10-12,20011017.0,,,,-4400.0,0.0,,,,
2001-10-19,20011024.0,,,,2800.0,0.0,,,,
2001-10-26,20011031.0,,,,2500.0,0.0,,,,
2001-11-02,20011107.0,,,,3600.0,0.0,,,,
2001-11-09,20011115.0,,,,-200.0,0.0,,,,
2001-11-16,20011121.0,,,,-1300.0,0.0,,,,
2001-11-23,20011128.0,,,,-3100.0,0.0,,,,
2001-11-30,20011205.0,,,,4200.0,0.0,,,,
2001-12-07,20011212.0,,,,-2400.0,0.0,,,,
2001-12-14,20011219.0,,,,400.0,0.0,,,,
2001-12-21,20011227.0,,,,2600.0,0.0,,,,
2001-12-28,20020103.0,,,,-2200.0,0.0,,,,
2002-01-04,20020109.0,,,,1200.0,0.0,,,,
2002-01-11,20020116.0,,,,1000.0,0.0,,,,
2002-01-18,20020124.0,,,,2700.0,0.0,,,,
2002-01-25,20020130.0,,,,2100.0,0.0,,,,
2002-02-01,20020206.0,,,,2400.0,0.0,,,,
2002-02-08,20020213.0,,,,2500.0,0.0,,,,
2002-02-15,20020221.0,,,,-3100.0,0.0,,,,
2002-02-22,20020227.0,,,,-2500.0,0.0,,,,
2002-03-01,20020306.0,,,,-4300.0,0.0,,,,
2002-03-08,20020313.0,,,,400.0,0.0,,,,
2002-03-15,20020320.0,,,,2600.0,0.0,,,,
2002-03-22,20020327.0,,,,-4500.0,0.0,,,,
2002-03-29,20020403.0,,,,6100.0,0.0,,,,
2002-04-05,20020410.0,,,,-100.0,0.0,,,,
2002-04-12,20020417.0,,,,-5600.0,0.0,,,,
2002-04-19,20020424.0,,,,1500.0,0.0,,,,
2002-04-26,20020501.0,,,,4600.0,0.0,,,,
2002-05-03,20020508.0,,,,-5500.0,0.0,,,,
2002-05-10,20020515.0,,,,-4200.0,0.0,,,,
2002-05-17,20020522.0,,,,4600.0,0.0,,,,
2002-05-24,20020530.0,,,,,,,,,
2002-05-31,20020605.0,,,,6000.0,0.0,,,,
2002-06-07,20020612.0,,,,-1400.0,0.0,,,,
2002-06-14,20020619.0,,,,-500.0,0.0,,,,
2002-06-21,20020626.0,,,,-3400.0,0.0,,,,
2002-06-28,20020703.0,,,,1600.0,0.0,,,,
2002-07-05,20020710.0,,,,,,,,,
2002-07-12,20020717.0,,,,,,,,,
2002-07-19,20020724.0,,,,,,,,,
2002-07-26,20020731.0,,,,,,,,,
2002-08-02,20020807.0,,,,,,,,,
2002-08-09,20020814.0,,,,,,,,,
2002-08-16,20020821.0,,,,,,,,,
2002-08-23,20020828.0,,,,,,,,,
2002-08-30,20020905.0,,,,,,,,,
2002-09-06,20020911.0,,,,,,,,,
2002-09-13,20020918.0,,,,,,,,,
2002-09-20,20020925.0,,,,,,,,,
2002-09-27,20021002.0,,,,,,,,,
2002-10-04,20021009.0,,,,,,,,,
2002-10-11,20021017.0,,,,,,,,,
2002-10-18,20021023.0,,,,,,,,,
2002-10-25,20021030.0,,,,,,,,,
2002-11-01,20021106.0,,,,,,,,,
2002-11-08,20021114.0,,,,,,,,,
2002-11-15,20021120.0,,,,,,,,,
2002-11-22,20021127.0,,,,,,,,,
2002-11-29,20021204.0,,,,,,,,,
2002-12-06,20021211.0,,,,,,,,,
2002-12-13,20021218.0,,,,,,,,,
2002-12-20,20021226.0,,,,,,,,,
2002-12-27,20030102.0,,,,,,,,,
2003-01-03,20030108.0,,,,,,,,,
2003-01-10,20030115.0,,,,,,,,,
2003-01-17,20030123.0,,,,,,,,,
2003-01-24,20030129.0,,,,,,,,,
2003-01-31,20030205.0,,,,,,,,,
2003-02-07,20030212.0,,,,,,,,,
2003-02-14,20030220.0,,,,,,,,,
2003-02-21,20030226.0,,,,,,,,,
2003-02-28,20030305.0,,,,,,,,,
2003-03-07,20030312.0,,,,,,,,,
2003-03-14,20030319.0,,,,,,,,,
2003-03-21,20030326.0,,,,,,,,,
2003-03-28,20030402.0,,,,,,,,,
2003-04-04,20030409.0,,,,,,,,,
2003-04-11,20030416.0,,,,100.0,0.0,,,,
2003-04-18,20030423.0,,,,9000.0,0.0,,,,
2003-04-25,20030430.0,,,,1800.0,0.0,,,,
2003-05-02,20030507.0,,,,-800.0,0.0,,,,
2003-05-09,20030514.0,,,,-2700.0,0.0,,,,
2003-05-16,20030521.0,,,,600.0,0.0,,,,
2003-05-23,20030529.0,,,,1100.0,0.0,,,,
2003-05-30,20030604.0,,,,2800.0,0.0,,,,
2003-06-06,20030611.0,,,,-4600.0,0.0,,,,
2003-06-13,20030618.0,,,2208.0,3900.0,9.0,-500.0,-139.0,-3000.0,3000.0
2003-06-20,20030625.0,,,1875.0,-4100.0,8.0,1625.0,1500.0,-2000.0,4000.0
2003-06-27,20030702.0,,,1875.0,-2100.0,0.0,,,,
2003-07-04,20030709.0,,,1875.0,100.0,0.0,,,,
2003-07-11,20030716.0,,,1559.0,-3600.0,10.0,750.0,475.0,-2000.0,3000.0
2003-07-18,20030723.0,,,1602.0,-2300.0,10.0,-125.0,-625.0,-4000.0,1000.0
2003-07-25,20030730.0,,,1640.0,1000.0,13.0,1000.0,865.0,-3250.0,3000.0
2003-08-01,20030806.0,,,1424.0,2900.0,10.0,250.0,190.0,-1800.0,2000.0
2003-08-08,20030813.0,,,1726.0,200.0,14.0,,-107.0,-3000.0,3000.0
2003-08-15,20030820.0,,,1378.0,-1600.0,11.0,500.0,832.0,-1000.0,3000.0
2003-08-22,20030827.0,,,1492.0,-200.0,13.0,,185.0,-2600.0,3000.0
2003-08-29,20030904.0,,,1076.0,1800.0,12.0,1000.0,638.0,-1250.0,2000.0
2003-09-05,20030910.0,,,1369.0,-4200.0,11.0,1000.0,795.0,-2500.0,2500.0
2003-09-12,20030917.0,,,2172.0,3100.0,13.0,2000.0,823.0,-2250.0,3000.0
2003-09-19,20030924.0,,,946.0,1500.0,11.0,1500.0,1155.0,-500.0,2250.0
2003-09-26,20031001.0,,,772.0,,11.0,1250.0,1266.0,-500.0,2300.0
2003-10-03,20031008.0,,,1505.0,5400.0,10.0,1500.0,1125.0,-1250.0,3500.0
2003-10-10,20031016.0,,,1309.0,3800.0,15.0,1500.0,1310.0,-3000.0,3000.0
2003-10-17,20031022.0,,,703.0,-1800.0,13.0,2300.0,2242.0,500.0,3300.0
2003-10-24,20031029.0,,,1457.0,3600.0,14.0,-135.0,238.0,-1750.0,2500.0
2003-10-31,20031105.0,,,1615.0,100.0,14.0,513.0,209.0,-2000.0,2250.0
2003-11-07,20031113.0,,,1098.0,-800.0,13.0,-1000.0,-673.0,-2000.0,2000.0
2003-11-14,20031119.0,,,,,,,,,
2003-11-21,20031126.0,,,1810.0,-4900.0,15.0,600.0,130.0,-3000.0,2250.0
2003-11-28,20031203.0,,,1700.0,-4800.0,14.0,375.0,175.0,-3500.0,2500.0
2003-12-05,20031210.0,,,2064.0,-6400.0,13.0,-1500.0,-646.0,-4000.0,2500.0
2003-12-12,20031217.0,,,1627.0,-5100.0,14.0,-1750.0,-1081.0,-3000.0,2000.0
2003-12-19,20031224.0,,,1606.0,1700.0,13.0,-1000.0,-912.0,-3800.0,1200.0
2003-12-26,20031231.0,,,1607.0,,9.0,,-544.0,-3750.0,2000.0
2004-01-02,20040107.0,,,1783.0,-1700.0,14.0,-850.0,-246.0,-2500.0,2500.0
2004-01-09,20040114.0,,,1576.0,-5000.0,12.0,-625.0,104.0,-2250.0,2500.0
2004-01-16,20040122.0,,,2185.0,1200.0,13.0,100.0,315.0,-3250.0,4000.0
2004-01-23,20040128.0,,,2290.0,-1500.0,12.0,750.0,825.0,-3000.0,4000.0
2004-01-30,20040204.0,,,2236.0,7900.0,12.0,250.0,246.0,-3600.0,4000.0
2004-02-06,20040211.0,,,2178.0,-2700.0,14.0,2400.0,1639.0,-3000.0,4000.0
2004-02-13,20040219.0,,,2339.0,4900.0,13.0,-1000.0,15.0,-4250.0,3600.0
2004-02-20,20040225.0,,,1725.0,,15.0,1000.0,933.0,-3300.0,3500.0
2004-02-27,20040303.0,,,1765.0,2000.0,14.0,-100.0,-157.0,-3300.0,2500.0
2004-03-05,20040310.0,,,2041.0,3700.0,13.0,1000.0,496.0,-2750.0,4500.0
2004-03-12,20040317.0,,,1860.0,1600.0,14.0,875.0,521.0,-3000.0,3100.0
2004-03-19,20040324.0,,,1360.0,7500.0,13.0,2000.0,2000.0,-1000.0,4500.0
2004-03-26,20040331.0,,,2157.0,5700.0,11.0,2000.0,1727.0,-3750.0,5500.0
2004-04-02,20040407.0,,,2286.0,-2100.0,13.0,2000.0,796.0,-3000.0,3800.0
2004-04-09,20040414.0,,,1843.0,3200.0,13.0,1800.0,1050.0,-2300.0,4000.0
2004-04-16,20040421.0,,,1807.0,200.0,14.0,2400.0,2521.0,-2000.0,6000.0
2004-04-23,20040428.0,,,1880.0,3200.0,14.0,1625.0,1214.0,-3000.0,3750.0
2004-04-30,20040505.0,,,1297.0,100.0,11.0,2000.0,1159.0,-2000.0,2300.0
2004-05-07,20040512.0,,,1663.0,1100.0,13.0,1000.0,612.0,-2000.0,3000.0
2004-05-14,20040519.0,,,1737.0,-1100.0,13.0,1000.0,365.0,-2500.0,2250.0
2004-05-21,20040526.0,,,1683.0,,13.0,1000.0,638.0,-2100.0,3250.0
2004-05-28,20040603.0,,,1479.0,2800.0,12.0,1125.0,929.0,-2000.0,3000.0
2004-06-04,20040609.0,,,1136.0,400.0,11.0,1300.0,1027.0,-1750.0,2250.0
2004-06-11,20040616.0,,,1736.0,800.0,12.0,1150.0,888.0,-2800.0,3000.0
2004-06-18,20040623.0,,,1844.0,2500.0,12.0,1000.0,396.0,-3500.0,2250.0
2004-06-25,20040630.0,,,1719.0,-500.0,13.0,1000.0,742.0,-2700.0,3250.0
2004-07-02,20040708.0,,,1385.0,100.0,14.0,750.0,471.0,-2000.0,2750.0
2004-07-09,20040714.0,,,1247.0,-2100.0,10.0,-500.0,-275.0,-2000.0,1750.0
2004-07-16,20040721.0,,,1349.0,-3600.0,9.0,-900.0,-200.0,-2000.0,2000.0
2004-07-23,20040728.0,,,1753.0,1200.0,14.0,-500.0,-400.0,-3300.0,2500.0
2004-07-30,20040804.0,,,1293.0,-1900.0,12.0,-1000.0,-979.0,-3000.0,1000.0
2004-08-06,20040811.0,,,1607.0,-4300.0,12.0,-950.0,-538.0,-3500.0,1750.0
2004-08-13,20040818.0,,,2293.0,-1300.0,14.0,-1875.0,-1007.0,-4400.0,3250.0
2004-08-20,20040825.0,,,1964.0,-1700.0,14.0,-250.0,-89.0,-4000.0,3000.0
2004-08-27,20040901.0,,,1325.0,-4200.0,13.0,-400.0,-95.0,-2000.0,3000.0
2004-09-03,20040909.0,,,1482.0,-1400.0,14.0,-1000.0,-571.0,-2500.0,2500.0
2004-09-10,20040915.0,,,1113.0,-7100.0,13.0,-1500.0,-1762.0,-4500.0,
2004-09-17,20040922.0,,,1899.0,-9100.0,11.0,-7000.0,-7073.0,-11000.0,-4000.0
2004-09-24,20040929.0,,,2976.0,3400.0,13.0,-3700.0,-3346.0,-7300.0,5000.0
2004-10-01,20041006.0,,,2665.0,1100.0,14.0,2750.0,2721.0,-2000.0,7000.0
2004-10-08,20041014.0,,,1608.0,4200.0,14.0,900.0,614.0,-3000.0,3000.0
2004-10-15,20041020.0,,,1671.0,1200.0,15.0,1800.0,1147.0,-3000.0,3000.0
2004-10-22,20041027.0,,,1369.0,4000.0,15.0,1000.0,750.0,-2000.0,2500.0
2004-10-29,20041103.0,,,1123.0,6300.0,15.0,2000.0,1507.0,-1000.0,3000.0
2004-11-05,20041110.0,,,1156.0,1800.0,15.0,2000.0,1967.0,-1250.0,3500.0
2004-11-12,20041117.0,,,1207.0,800.0,16.0,1500.0,1169.0,-2000.0,2750.0
2004-11-19,20041124.0,,,1481.0,100.0,14.0,525.0,343.0,-3000.0,2000.0
2004-11-26,20041201.0,,,1347.0,900.0,15.0,-200.0,150.0,-2000.0,2500.0
2004-12-03,20041208.0,,,1300.0,600.0,12.0,-750.0,-546.0,-2000.0,1500.0
2004-12-10,20041215.0,,,1422.0,-100.0,14.0,-1500.0,-754.0,-3000.0,2000.0
2004-12-17,20041222.0,,,938.0,2100.0,12.0,-800.0,-621.0,-2000.0,1000.0
2004-12-24,20041229.0,,,1478.0,-800.0,12.0,200.0,117.0,-2000.0,2500.0
2004-12-31,20050105.0,,,1342.0,-3300.0,15.0,-1500.0,-1263.0,-4000.0,2000.0
2005-01-07,20050112.0,,,1080.0,-3000.0,14.0,-1900.0,-1711.0,-3500.0,500.0
2005-01-14,20050119.0,,,1831.0,3400.0,14.0,1300.0,879.0,-2000.0,4000.0
2005-01-21,20050126.0,,,1715.0,3400.0,13.0,1000.0,827.0,-3000.0,3500.0
2005-01-28,20050202.0,,,1579.0,-300.0,13.0,2000.0,1515.0,-300.0,3000.0
2005-02-04,20050209.0,,,1082.0,-1000.0,15.0,700.0,847.0,-1000.0,3000.0
2005-02-11,20050216.0,,,1469.0,2100.0,16.0,1000.0,891.0,-1750.0,3000.0
2005-02-18,20050224.0,,,1107.0,600.0,13.0,1200.0,823.0,-2000.0,2000.0
2005-02-25,20050302.0,,,1320.0,2400.0,12.0,1000.0,733.0,-2000.0,2500.0
2005-03-04,20050309.0,,,805.0,3200.0,14.0,1700.0,1707.0,-500.0,3000.0
2005-03-11,20050316.0,,,740.0,2600.0,15.0,2000.0,2157.0,500.0,3400.0
2005-03-18,20050323.0,,,698.0,4100.0,15.0,2000.0,1990.0,700.0,3250.0
2005-03-25,20050330.0,,,782.0,5400.0,15.0,2500.0,2513.0,1000.0,4000.0
2005-04-01,20050406.0,,,971.0,2360.0,15.0,2500.0,2423.0,250.0,4500.0
2005-04-08,20050413.0,,,1373.0,3600.0,16.0,400.0,88.0,-3000.0,2500.0
2005-04-15,20050420.0,,,1402.0,-1800.0,16.0,1400.0,1034.0,-1800.0,3000.0
