date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2002-11-30,20021115.0,9.7,20021216.0,2.3,9.6,10.0,-5.0,-5.4,-8.1,0.0
2002-12-31,20021216.0,12.3,20030115.0,5.3,10.6,11.0,6.0,4.8,-5.0,12.0
2003-01-31,20030115.0,,,3.0,20.7,19.0,13.0,12.8,6.0,20.0
2003-02-28,20030218.0,,,2.7,1.1,23.0,16.0,16.2,10.0,22.1
2003-03-31,20030317.0,-2.8,20030415.0,4.8,-2.5,19.0,-2.0,-0.8,-8.4,10.0
2003-04-30,20030415.0,-20.2,20030515.0,4.3,-20.4,30.0,-0.8,-1.5,-17.0,5.0
2003-05-31,20030515.0,,,5.5,10.6,33.0,-8.3,-7.1,-15.0,5.0
2003-06-30,20030616.0,27.6,20030715.0,3.1,26.8,27.0,10.1,10.1,2.0,15.0
2003-07-31,20030715.0,20.8,20030815.0,5.0,22.6,38.0,20.0,18.7,5.0,30.0
2003-08-31,20030815.0,,,3.4,10.0,34.0,20.0,19.7,13.0,27.5
2003-09-30,20030915.0,,,3.3,18.4,28.0,15.0,14.2,8.0,25.0
2003-10-31,20031015.0,34.1,20031117.0,2.5,33.7,40.0,16.0,16.0,7.0,20.0
2003-11-30,20031117.0,40.1,20031215.0,5.1,41.0,31.0,28.0,27.5,7.0,35.0
2003-12-31,20031215.0,36.2,20040115.0,4.5,37.4,33.0,35.0,33.9,25.0,43.0
2004-01-31,20040115.0,38.9,20040217.0,3.2,39.2,41.0,35.0,36.1,30.0,44.0
2004-02-29,20040217.0,,,3.1,42.1,36.0,37.0,36.5,30.0,45.7
2004-03-31,20040315.0,,,3.2,25.3,41.0,38.0,36.8,28.0,43.9
2004-04-30,20040415.0,34.0,20040517.0,3.7,36.1,38.0,28.3,28.0,19.5,35.0
2004-05-31,20040517.0,,,2.4,30.2,39.0,34.0,33.7,27.0,37.2
2004-06-30,20040615.0,29.9,20040715.0,2.8,30.2,39.0,30.5,30.2,25.0,36.8
2004-07-31,20040715.0,35.8,20040816.0,2.6,36.5,42.0,27.8,27.5,23.0,38.0
2004-08-31,20040816.0,13.2,20040915.0,2.9,12.6,36.0,32.3,31.6,25.0,37.7
2004-09-30,20040915.0,27.3,20041015.0,4.0,28.3,48.0,20.0,19.7,6.8,28.0
2004-10-31,20041015.0,,,3.4,17.4,44.0,25.0,24.8,17.5,31.3
2004-11-30,20041115.0,18.9,20041215.0,3.1,19.8,40.0,20.6,21.0,12.0,30.0
2004-12-31,20041215.0,27.1,20050118.0,2.6,29.9,45.0,20.0,20.0,12.0,25.0
2005-01-31,20050118.0,,,3.7,20.1,46.0,25.0,25.5,15.0,33.6
2005-02-28,20050215.0,,,3.0,19.2,50.0,20.0,19.5,12.5,25.0
2005-03-31,20050315.0,20.2,20050415.0,3.0,19.6,47.0,19.9,19.1,12.0,28.0
2005-04-30,20050415.0,2.0,20050516.0,2.3,3.1,45.0,18.0,17.3,12.0,21.0
2005-05-31,20050516.0,,,3.8,-11.1,43.0,11.7,11.7,3.0,21.0
2005-06-30,20050615.0,10.5,20050715.0,5.0,11.7,45.0,1.0,0.9,-11.0,10.0
2005-07-31,20050715.0,,,3.8,23.9,46.0,10.0,10.0,2.0,20.0
2005-08-31,20050815.0,,,3.8,23.0,36.0,18.5,18.5,7.6,26.1
2005-09-30,20050915.0,15.6,20051017.0,4.4,17.0,43.0,15.0,15.2,0.0,21.0
2005-10-31,20051017.0,,,3.8,12.1,35.0,19.0,18.7,10.9,28.0
2005-11-30,20051115.0,,,3.0,22.8,43.0,15.5,15.9,4.0,22.5
2005-12-31,20051215.0,26.3,20060117.0,1.8,28.7,44.0,18.2,18.7,11.5,25.0
2006-01-31,20060117.0,,,3.8,20.1,43.0,21.0,20.5,10.0,27.4
2006-02-28,20060215.0,21.0,20060315.0,2.7,20.3,45.0,18.0,17.9,12.0,23.0
2006-03-31,20060315.0,29.0,20060417.0,2.0,31.2,46.0,18.9,18.5,12.0,22.5
2006-04-30,20060417.0,,,2.8,15.8,39.0,24.3,24.2,20.0,36.5
2006-05-31,20060515.0,12.9,20060615.0,2.8,12.4,46.0,16.1,16.2,9.5,21.0
2006-06-30,20060615.0,,,2.5,29.0,50.0,11.0,11.7,4.6,18.0
2006-07-31,20060717.0,16.6,20060815.0,4.4,15.6,42.0,20.0,20.6,11.0,33.5
2006-08-31,20060815.0,11.0,20060915.0,2.6,10.3,39.0,15.0,14.3,8.0,19.0
2006-09-30,20060915.0,,,2.9,13.8,52.0,13.5,13.0,8.0,22.0
2006-10-31,20061016.0,,,2.5,22.9,34.0,11.2,11.6,6.3,16.0
2006-11-30,20061115.0,,,3.1,26.7,48.0,15.0,14.7,5.0,23.0
2006-12-31,20061214.0,22.2,20070116.0,3.8,23.1,43.0,17.7,17.6,5.0,28.0
2007-01-31,20070116.0,,,3.5,9.1,42.0,19.3,19.0,13.0,26.0
2007-02-28,20070215.0,,,3.1,24.4,50.0,10.6,10.6,5.0,16.0
2007-03-31,20070315.0,,,2.9,1.9,46.0,17.5,17.0,8.0,20.7
2007-04-30,20070416.0,,,4.4,3.8,51.0,7.5,7.3,-4.0,18.0
2007-05-31,20070515.0,,,2.8,8.0,49.0,8.0,7.7,2.0,15.0
2007-06-30,20070615.0,,,2.1,25.8,48.0,11.3,11.5,8.0,15.0
2007-07-31,20070716.0,,,4.2,26.5,47.0,18.0,17.8,4.5,28.0
