date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000106.0,,,,309.0,21.0,285.0,284.7,275.0,310.0
2000-01-07,20000113.0,311.0,20000120.0,12.0,309.0,23.0,300.0,302.3,280.0,325.0
2000-01-14,20000120.0,265.0,20000127.0,6.0,272.0,23.0,295.0,293.6,284.0,310.0
2000-01-21,20000127.0,279.0,20000203.0,8.0,266.0,25.0,276.0,276.5,260.0,290.0
2000-01-28,20000203.0,,,8.0,274.0,25.0,270.0,271.2,250.0,286.0
2000-02-04,20000210.0,303.0,20000217.0,6.0,301.0,25.0,275.0,275.3,255.0,284.0
2000-02-11,20000217.0,285.0,20000224.0,8.0,283.0,21.0,280.0,284.8,275.0,305.0
2000-02-18,20000224.0,269.0,20000302.0,4.0,278.0,22.0,285.0,283.5,275.0,295.0
2000-02-25,20000302.0,,,4.0,275.0,26.0,280.0,279.5,268.0,285.0
2000-03-03,20000309.0,281.0,20000316.0,4.0,280.0,28.0,280.0,277.8,270.0,285.0
2000-03-10,20000316.0,,,3.0,262.0,25.0,280.0,279.1,275.0,285.0
2000-03-17,20000323.0,,,4.0,266.0,24.0,270.0,271.4,262.0,280.0
2000-03-24,20000330.0,,,5.0,266.0,21.0,270.0,269.2,260.0,280.0
2000-03-31,20000406.0,261.0,20000413.0,5.0,260.0,23.0,270.0,270.9,265.0,286.0
2000-04-07,20000413.0,266.0,20000420.0,6.0,264.0,20.0,265.0,265.9,250.0,280.0
2000-04-14,20000420.0,,,3.0,257.0,19.0,265.0,264.8,260.0,270.0
2000-04-21,20000427.0,,,4.0,283.0,21.0,260.0,260.9,250.0,270.0
2000-04-28,20000504.0,304.0,20000511.0,8.0,303.0,27.0,273.0,271.6,255.0,290.0
2000-05-05,20000511.0,,,9.0,297.0,23.0,287.0,288.1,275.0,310.0
2000-05-12,20000518.0,278.0,20000525.0,6.0,276.0,22.0,290.0,290.0,280.0,300.0
2000-05-19,20000525.0,285.0,20000601.0,6.0,284.0,22.0,275.5,276.7,270.0,290.0
2000-05-26,20000601.0,289.0,20000608.0,3.0,286.0,24.0,280.0,281.0,275.0,295.0
2000-06-02,20000608.0,312.0,20000615.0,6.0,309.0,26.0,285.0,286.0,275.0,300.0
