date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2014-03-31,20140403.0,,,,,0.0,,,,
2014-04-30,20140505.0,,,,,0.0,,,,
2014-05-31,20140604.0,,,,,0.0,,,,
2014-06-30,20140703.0,,,,,0.0,,,,
2014-07-31,20140805.0,,,,,0.0,,,,
2014-08-31,20140904.0,,,,,0.0,,,,
2014-09-30,20141003.0,,,,,,,,,
2014-10-31,20141105.0,,,,,1.0,,,,
2014-11-30,20141203.0,,,,,,,,,
2014-12-31,20150106.0,,,,,1.0,,,,
2015-01-31,20150204.0,,,,,1.0,,,,
2015-02-28,20150304.0,,,,,,,,,
2015-03-31,20150406.0,,,,,2.0,,,,
2015-04-30,20150505.0,,,,,,,,,
2015-05-31,20150603.0,,,,,,,,,
2015-06-30,20150706.0,,,,,,,,,
2015-07-31,20150805.0,,,,,,,,,
2015-08-31,20150903.0,,,,,,,,,
2015-09-30,20151005.0,,,,,1.0,,,,
2015-10-31,20151104.0,,,,,1.0,,,,
2015-11-30,20151203.0,,,,,,,,,
2015-12-31,20160106.0,,,,,,,,,
2016-01-31,20160203.0,,,,,2.0,,,,
2016-02-29,20160303.0,,,,,,,,,
2016-03-31,20160405.0,,,,,,,,,
2016-04-30,20160504.0,,,,,,,,,
2016-05-31,20160603.0,,,,,,,,,
2016-06-30,20160706.0,,,,51.2,,,,,
2016-07-31,20160803.0,,,,51.8,,,,,
2016-08-31,20160902.0,,,,51.5,,,,,
2016-09-30,20161005.0,,,,52.3,,,,,
2016-10-31,20161103.0,,,,54.9,1.0,,,,
2016-11-30,20161205.0,,,,54.9,1.0,,,,
2016-12-31,20170105.0,,,,54.1,1.0,,,,
2017-01-31,20170203.0,,,,55.8,,,,,
2017-02-28,20170303.0,,,,54.1,1.0,,,,
2017-03-31,20170405.0,,,,53.0,,,,,
2017-04-30,20170503.0,,,,53.2,,,,,
2017-05-31,20170605.0,,,,53.6,,,,,
2017-06-30,20170706.0,53.9,20170724.0,,53.0,,,,,
2017-07-31,20170803.0,,,,54.6,,,,,
2017-08-31,20170906.0,,,,55.3,,,,,
2017-09-30,20171004.0,,,,54.8,1.0,,,,
2017-10-31,20171103.0,,,,55.2,,,,,
2017-11-30,20171205.0,,,,54.5,,,,,
2017-12-31,20180104.0,,,,54.1,,,,,
2018-01-31,20180205.0,,,,53.8,,,,,
2018-02-28,20180305.0,,,,55.8,,,,,
2018-03-31,20180404.0,,,,54.2,,,,,
2018-04-30,20180503.0,,,,54.9,,,,,
2018-05-31,20180605.0,,,,56.6,,,,,
2018-06-30,20180705.0,,,,56.2,,,,,
2018-07-31,20180803.0,,,,55.7,,,,,
2018-08-31,20180906.0,,,,54.7,,,,,
2018-09-30,20181003.0,,,,53.9,,,,,
2018-10-31,20181105.0,,,,54.9,,,,,
2018-11-30,20181206.0,,,,54.7,,,,,
2018-12-31,20190104.0,,,,54.4,,,,,
2019-01-31,20190205.0,,,,54.4,,,,,
2019-02-28,20190305.0,,,,55.5,,,,,
2019-03-31,20190403.0,,,,54.6,,,,,
2019-04-30,20190503.0,,,,53.0,,,,,
2019-05-31,20190605.0,,,,50.9,,,,,
