date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2008-01-31,20080205.0,,,0.7,44.6,16.0,52.5,52.3,50.0,53.1
2008-02-29,20080305.0,,,1.6,49.3,64.0,47.3,47.5,43.0,52.0
2008-03-31,20080403.0,,,1.0,49.6,69.0,48.5,48.5,46.0,52.5
2008-04-30,20080505.0,,,0.8,52.0,68.0,49.1,49.2,47.5,51.0
2008-05-31,20080604.0,,,0.9,51.7,73.0,51.0,50.8,48.5,53.0
2008-06-30,20080703.0,,,0.9,48.2,76.0,51.0,51.0,48.5,53.6
2008-07-31,20080805.0,,,1.1,49.5,72.0,48.8,48.8,47.0,52.5
2008-08-31,20080904.0,,,0.8,50.6,68.0,49.5,49.6,48.5,52.0
2008-09-30,20081003.0,,,1.2,50.2,67.0,50.0,49.7,42.0,51.9
2008-10-31,20081105.0,,,1.5,44.4,69.0,47.0,46.9,42.0,50.5
2008-11-30,20081203.0,,,1.6,37.3,64.0,42.0,42.1,37.0,46.5
2008-12-31,20090106.0,40.1,20090204.0,1.5,40.6,63.0,36.5,36.5,34.0,42.0
2009-01-31,20090204.0,,,1.4,42.9,65.0,39.0,39.0,35.0,44.0
2009-02-28,20090304.0,,,1.2,41.6,70.0,41.0,40.9,37.0,44.0
2009-03-31,20090403.0,,,1.2,40.8,67.0,42.0,42.0,38.0,45.0
2009-04-30,20090505.0,,,1.1,43.7,66.0,42.2,42.5,38.0,46.0
2009-05-31,20090603.0,,,1.0,44.0,70.0,45.0,45.0,40.5,47.0
2009-06-30,20090706.0,,,0.8,47.0,64.0,46.0,45.8,44.0,48.0
2009-07-31,20090805.0,,,0.8,46.4,77.0,48.0,48.1,44.0,49.3
2009-08-31,20090903.0,,,0.9,48.4,71.0,48.0,48.4,45.0,51.0
2009-09-30,20091005.0,,,0.8,50.9,70.0,50.0,49.7,45.0,52.1
2009-10-31,20091104.0,,,0.8,50.6,77.0,51.5,51.6,49.2,54.4
2009-11-30,20091203.0,,,0.6,48.7,71.0,51.5,51.5,50.1,53.0
2009-12-31,20100106.0,,,0.8,50.1,67.0,50.5,50.5,48.0,52.1
2010-01-31,20100203.0,,,0.7,50.5,75.0,51.0,51.0,49.0,53.0
2010-02-28,20100303.0,,,0.8,53.0,73.0,51.0,50.9,48.5,52.9
2010-03-31,20100405.0,,,0.7,55.4,68.0,54.0,53.7,51.0,55.0
2010-04-30,20100505.0,,,0.7,55.4,76.0,56.0,56.1,53.7,57.3
2010-05-31,20100603.0,,,0.7,55.4,76.0,55.6,55.6,53.9,57.0
2010-06-30,20100706.0,,,0.7,53.8,67.0,55.0,54.8,52.0,56.6
2010-07-31,20100804.0,,,0.6,54.3,77.0,53.0,53.1,51.5,54.7
2010-08-31,20100903.0,,,0.8,51.5,67.0,53.2,53.2,51.0,55.5
2010-09-30,20101005.0,,,0.7,53.2,76.0,52.0,51.9,50.0,53.3
2010-10-31,20101103.0,,,0.7,54.3,76.0,53.5,53.4,52.0,55.2
2010-11-30,20101203.0,,,0.8,55.0,76.0,54.8,54.6,52.3,59.4
2010-12-31,20110105.0,,,0.7,57.1,67.0,55.7,55.7,54.0,58.5
2011-01-31,20110203.0,,,0.9,59.4,74.0,57.2,57.2,54.5,62.0
2011-02-28,20110303.0,,,0.9,59.7,73.0,59.3,59.3,56.0,62.0
2011-03-31,20110405.0,,,0.8,57.3,68.0,59.5,59.6,57.7,61.0
2011-04-30,20110504.0,,,0.9,52.8,73.0,57.5,57.3,54.5,59.0
2011-05-31,20110603.0,,,1.0,54.6,74.0,54.0,53.9,51.0,56.0
2011-06-30,20110706.0,,,1.0,53.3,71.0,53.7,53.7,51.2,56.0
2011-07-31,20110803.0,,,0.9,52.7,75.0,53.5,53.4,50.0,55.5
2011-08-31,20110906.0,,,0.8,53.3,74.0,51.0,51.1,49.0,53.5
2011-09-30,20111005.0,,,0.8,53.0,75.0,52.8,52.8,51.3,55.0
2011-10-31,20111103.0,,,0.6,52.9,77.0,53.5,53.6,52.0,55.0
2011-11-30,20111205.0,,,0.6,52.0,79.0,53.9,53.7,51.5,55.0
2011-12-31,20120105.0,,,0.5,52.6,65.0,53.0,53.1,52.0,55.0
2012-01-31,20120203.0,,,0.5,56.8,77.0,53.2,53.2,52.0,54.0
2012-02-29,20120305.0,,,1.0,57.3,66.0,56.0,56.2,54.0,59.0
2012-03-31,20120404.0,,,1.0,56.0,69.0,56.8,56.8,54.0,62.0
2012-04-30,20120503.0,,,0.7,53.5,74.0,55.3,55.4,54.0,57.0
2012-05-31,20120605.0,,,0.7,53.7,75.0,53.4,53.3,52.0,55.1
2012-06-30,20120705.0,,,0.5,52.1,70.0,53.0,52.8,51.5,54.2
2012-07-31,20120803.0,,,0.5,52.6,73.0,52.1,52.2,50.5,53.0
2012-08-31,20120906.0,,,0.6,53.7,76.0,52.5,52.6,51.0,53.5
2012-09-30,20121003.0,,,0.6,55.1,77.0,53.4,53.3,51.5,54.7
2012-10-31,20121105.0,,,0.7,54.2,76.0,54.5,54.6,53.0,57.0
2012-11-30,20121205.0,,,0.7,54.7,75.0,53.5,53.5,51.0,54.7
2012-12-31,20130104.0,55.7,20130205.0,0.7,56.1,66.0,54.1,54.1,52.0,56.0
2013-01-31,20130205.0,,,0.8,55.2,76.0,55.0,55.2,53.0,57.5
2013-02-28,20130305.0,,,1.0,56.0,73.0,55.0,54.9,50.0,56.3
2013-03-31,20130403.0,,,0.6,54.4,73.0,55.5,55.6,53.7,56.5
2013-04-30,20130503.0,,,0.6,53.1,71.0,54.0,53.9,52.0,55.1
2013-05-31,20130605.0,,,0.7,53.7,74.0,53.5,53.5,51.0,55.0
2013-06-30,20130703.0,,,0.5,52.2,74.0,54.0,54.2,52.0,55.6
2013-07-31,20130805.0,,,0.6,56.0,75.0,53.1,53.3,51.5,55.0
2013-08-31,20130905.0,,,0.7,58.6,78.0,55.0,55.1,53.5,57.5
2013-09-30,20131003.0,,,0.8,54.4,75.0,57.0,57.1,55.0,59.0
2013-10-31,20131105.0,,,0.9,55.4,79.0,54.0,54.0,52.0,56.3
2013-11-30,20131204.0,,,0.6,53.9,67.0,55.0,55.1,53.5,57.0
2013-12-31,20140106.0,,,0.7,53.0,69.0,54.7,54.6,53.0,57.7
2014-01-31,20140205.0,,,0.6,54.0,78.0,53.7,53.7,52.0,55.0
2014-02-28,20140305.0,,,0.6,51.6,79.0,53.5,53.4,52.0,55.0
2014-03-31,20140403.0,,,0.7,53.1,77.0,53.5,53.3,50.0,55.0
2014-04-30,20140505.0,,,0.6,55.2,69.0,54.0,54.1,52.0,55.6
2014-05-31,20140604.0,,,0.7,56.3,75.0,55.5,55.4,54.0,58.0
2014-06-30,20140703.0,,,0.7,56.0,76.0,56.3,56.3,55.0,58.5
2014-07-31,20140805.0,,,0.6,58.7,73.0,56.5,56.4,54.5,57.5
2014-08-31,20140904.0,,,0.9,59.6,74.0,57.7,57.7,53.2,59.5
2014-09-30,20141003.0,,,0.6,58.6,78.0,58.5,58.5,56.0,60.2
2014-10-31,20141105.0,,,0.7,57.1,79.0,58.0,58.0,56.0,59.5
2014-11-30,20141203.0,,,0.8,59.3,78.0,57.5,57.3,54.4,59.1
2014-12-31,20150106.0,,,0.8,56.2,76.0,58.0,58.1,56.0,59.8
2015-01-31,20150204.0,,,0.7,56.7,73.0,56.4,56.3,54.5,57.5
2015-02-28,20150304.0,,,0.6,56.9,78.0,56.5,56.4,54.7,57.5
2015-03-31,20150406.0,,,0.9,56.5,71.0,56.5,56.3,53.0,58.5
2015-04-30,20150505.0,,,0.6,57.8,78.0,56.2,56.2,54.0,57.5
2015-05-31,20150603.0,,,0.7,55.7,79.0,57.0,57.1,55.0,60.0
2015-06-30,20150706.0,,,0.5,56.0,75.0,56.4,56.3,54.8,58.0
2015-07-31,20150805.0,,,0.7,60.3,75.0,56.2,56.2,54.0,58.0
2015-08-31,20150903.0,,,0.9,59.0,78.0,58.2,58.3,55.9,61.5
2015-09-30,20151005.0,,,0.8,56.9,71.0,57.5,57.6,56.0,60.0
2015-10-31,20151104.0,,,0.7,59.1,74.0,56.5,56.4,54.5,58.1
2015-11-30,20151203.0,,,0.9,55.9,68.0,58.0,57.9,54.9,61.0
2015-12-31,20160106.0,55.8,20160203.0,0.8,55.3,71.0,56.0,55.9,54.0,57.5
2016-01-31,20160203.0,,,0.6,53.5,76.0,55.1,55.1,53.0,56.5
2016-02-29,20160303.0,,,0.8,53.4,77.0,53.1,53.2,51.0,56.0
2016-03-31,20160405.0,,,0.6,54.5,78.0,54.2,54.2,52.0,55.5
