date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2000-06-30,20000703.0,,,1.7,47.0,12.0,67.5,67.6,65.0,70.0
2000-07-31,20000801.0,,,2.3,61.9,12.0,61.0,61.2,57.0,65.0
2000-08-31,20000901.0,,,2.3,56.2,9.0,60.0,60.4,56.4,65.0
2000-09-30,20001002.0,,,2.1,58.1,12.0,59.8,59.9,56.5,63.0
2000-10-31,20001101.0,,,2.1,56.5,13.0,57.8,58.1,53.0,64.0
2000-11-30,20001201.0,,,1.4,56.6,15.0,55.0,55.3,53.0,58.0
2000-12-31,20010102.0,,,2.1,61.0,16.0,55.0,54.7,49.0,58.0
2001-01-31,20010201.0,,,3.7,65.7,11.0,59.0,59.0,52.0,65.0
2001-02-28,20010301.0,,,3.2,58.1,13.0,61.0,61.4,55.0,65.5
2001-03-31,20010402.0,,,1.5,49.9,15.0,55.0,55.0,52.0,57.0
2001-04-30,20010501.0,,,1.6,48.9,12.0,48.9,48.8,45.0,51.0
2001-05-31,20010601.0,,,1.4,45.2,15.0,49.0,48.9,45.0,51.0
2001-06-30,20010702.0,,,2.1,42.3,16.0,44.5,44.7,42.0,50.0
2001-07-31,20010801.0,,,1.5,38.7,18.0,40.7,41.1,39.7,45.0
2001-08-31,20010904.0,,,1.5,33.9,18.0,37.4,37.4,34.5,41.0
2001-09-30,20011001.0,,,2.3,36.3,14.0,32.5,32.7,30.0,38.0
2001-10-31,20011101.0,,,1.1,32.5,13.0,34.5,34.3,32.0,36.0
2001-11-30,20011203.0,,,0.6,31.6,11.0,33.5,33.9,32.5,40.0
2001-12-31,20020102.0,33.2,20020201.0,1.4,34.7,12.0,32.5,32.8,31.0,35.0
2002-01-31,20020201.0,,,1.3,43.9,13.0,35.5,35.6,34.0,38.0
2002-02-28,20020301.0,,,2.2,41.5,20.0,44.8,44.1,40.0,48.8
2002-03-31,20020401.0,,,3.2,51.9,15.0,45.5,45.7,40.0,51.0
2002-04-30,20020501.0,,,1.6,60.3,20.0,52.5,52.2,49.0,55.0
2002-05-31,20020603.0,,,2.5,63.0,18.0,59.0,58.7,54.0,64.5
2002-06-30,20020701.0,,,3.6,65.5,20.0,60.0,59.9,47.0,66.0
2002-07-31,20020801.0,,,4.2,68.3,16.0,61.0,60.2,47.5,67.0
2002-08-31,20020903.0,,,2.9,61.5,17.0,65.9,65.0,58.0,70.0
2002-09-30,20021001.0,,,1.6,62.5,22.0,60.0,60.4,58.0,63.0
2002-10-31,20021101.0,,,2.2,58.3,23.0,60.0,59.6,55.0,63.2
2002-11-30,20021202.0,,,2.0,55.7,16.0,57.3,57.5,55.0,62.5
2002-12-31,20030102.0,,,1.2,56.9,12.0,56.0,56.3,54.0,59.0
2003-01-31,20030203.0,,,3.1,57.5,18.0,57.0,56.6,47.6,60.0
2003-02-28,20030303.0,,,1.4,65.5,17.0,60.0,60.1,57.6,63.0
2003-03-31,20030401.0,,,2.6,70.0,19.0,65.8,65.6,60.0,70.0
2003-04-30,20030501.0,,,3.3,63.5,20.0,65.0,64.8,60.0,73.5
2003-05-31,20030602.0,,,2.9,51.5,20.0,59.4,58.5,50.0,63.0
2003-06-30,20030701.0,,,1.8,56.5,19.0,51.0,51.8,49.5,55.0
2003-07-31,20030801.0,,,1.9,53.0,22.0,56.0,55.2,51.2,58.5
2003-08-31,20030902.0,,,1.4,53.0,18.0,55.0,54.6,52.0,58.0
2003-09-30,20031001.0,,,2.8,56.0,20.0,54.6,54.8,50.0,62.0
