date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2010-03-31,20100402.0,174.0,20100507.0,38.0,123.0,,,,,
2010-04-30,20100507.0,218.0,20100604.0,27.0,231.0,25.0,100.0,95.0,50.0,155.0
2010-05-31,20100604.0,33.0,20100702.0,46.0,41.0,35.0,180.0,171.0,30.0,257.0
2010-06-30,20100702.0,31.0,20100806.0,43.0,83.0,50.0,110.0,111.0,12.0,200.0
2010-07-31,20100806.0,107.0,20100903.0,26.0,71.0,54.0,90.0,91.0,20.0,150.0
2010-08-31,20100903.0,93.0,20101008.0,28.0,67.0,55.0,40.0,40.0,-12.0,120.0
2010-09-30,20101008.0,107.0,20101105.0,25.0,64.0,60.0,75.0,69.0,0.0,110.0
2010-10-31,20101105.0,160.0,20101203.0,19.0,159.0,55.0,80.0,82.0,20.0,135.0
2010-11-30,20101203.0,79.0,20110107.0,21.0,50.0,49.0,160.0,157.0,115.0,200.0
2010-12-31,20110107.0,139.0,20110204.0,34.0,113.0,42.0,178.0,173.0,90.0,230.0
2011-01-31,20110204.0,68.0,20110304.0,30.0,50.0,39.0,145.0,145.0,72.0,204.0
2011-02-28,20110304.0,240.0,20110401.0,37.0,222.0,38.0,200.0,203.0,130.0,295.0
2011-03-31,20110401.0,231.0,20110506.0,31.0,230.0,43.0,206.0,214.0,165.0,315.0
2011-04-30,20110506.0,251.0,20110603.0,36.0,268.0,38.0,200.0,204.0,150.0,350.0
2011-05-31,20110603.0,73.0,20110708.0,47.0,83.0,51.0,170.0,168.0,75.0,275.0
2011-06-30,20110708.0,80.0,20110805.0,28.0,57.0,50.0,132.0,132.0,55.0,200.0
2011-07-31,20110805.0,156.0,20110902.0,27.0,154.0,44.0,113.0,110.0,70.0,150.0
2011-08-31,20110902.0,42.0,20111007.0,32.0,17.0,46.0,95.0,90.0,5.0,156.0
2011-09-30,20111007.0,191.0,20111104.0,29.0,137.0,47.0,90.0,94.0,50.0,157.0
2011-10-31,20111104.0,117.0,20111202.0,17.0,104.0,50.0,125.0,124.0,75.0,175.0
2011-11-30,20111202.0,120.0,20120106.0,21.0,140.0,51.0,150.0,152.0,110.0,190.0
2011-12-31,20120106.0,220.0,20120203.0,25.0,212.0,51.0,175.0,177.0,130.0,230.0
2012-01-31,20120203.0,285.0,20120309.0,31.0,257.0,49.0,160.0,162.0,110.0,250.0
2012-02-29,20120309.0,,,27.0,233.0,50.0,225.0,228.0,120.0,290.0
