date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000107.0,316.0,20000204.0,35.0,315.0,42.0,245.0,241.0,165.0,320.0
2000-01-31,20000204.0,384.0,20000303.0,45.0,387.0,41.0,260.0,265.0,170.0,400.0
2000-02-29,20000303.0,7.0,20000407.0,39.0,43.0,42.0,213.0,214.0,100.0,325.0
2000-03-31,20000407.0,458.0,20000505.0,81.0,416.0,41.0,380.0,387.0,185.0,625.0
2000-04-30,20000505.0,414.0,20000602.0,69.0,340.0,45.0,340.0,342.0,200.0,525.0
2000-05-31,20000602.0,171.0,20000707.0,52.0,231.0,47.0,380.0,388.0,300.0,500.0
2000-06-30,20000707.0,30.0,20000804.0,81.0,11.0,46.0,250.0,260.0,100.0,495.0
2000-07-31,20000804.0,-51.0,20000901.0,61.0,-108.0,49.0,73.0,71.0,-65.0,250.0
2000-08-31,20000901.0,-91.0,20001006.0,51.0,-105.0,44.0,-23.0,-11.0,-90.0,125.0
2000-09-30,20001006.0,195.0,20001103.0,35.0,252.0,46.0,230.0,242.0,150.0,350.0
2000-10-31,20001103.0,77.0,20001208.0,28.0,137.0,46.0,175.0,182.0,120.0,270.0
2000-11-30,20001208.0,59.0,20010105.0,26.0,94.0,50.0,147.0,143.0,70.0,200.0
2000-12-31,20010105.0,19.0,20010202.0,36.0,105.0,43.0,111.0,107.0,-5.0,180.0
2001-01-31,20010202.0,224.0,20010309.0,42.0,268.0,48.0,90.0,88.0,-40.0,307.0
2001-02-28,20010309.0,140.0,20010406.0,38.0,135.0,49.0,75.0,66.0,-25.0,150.0
2001-03-31,20010406.0,-53.0,20010504.0,37.0,-86.0,49.0,60.0,63.0,-30.0,375.0
2001-04-30,20010504.0,-182.0,20010601.0,48.0,-223.0,48.0,15.0,12.0,-75.0,105.0
2001-05-31,20010601.0,8.0,20010706.0,51.0,-19.0,51.0,-50.0,-36.0,-343.0,60.0
2001-06-30,20010706.0,-93.0,20010803.0,46.0,-114.0,48.0,-50.0,-50.0,-175.0,75.0
2001-07-31,20010803.0,13.0,20010907.0,48.0,-42.0,51.0,-50.0,-58.0,-246.0,25.0
2001-08-31,20010907.0,-84.0,20011005.0,33.0,-113.0,47.0,-45.0,-45.0,-130.0,15.0
2001-09-30,20011005.0,-213.0,20011102.0,43.0,-199.0,50.0,-100.0,-108.0,-225.0,-35.0
2001-10-31,20011102.0,-468.0,20011207.0,70.0,-415.0,55.0,-300.0,-299.0,-500.0,-145.0
2001-11-30,20011207.0,-371.0,20020104.0,50.0,-331.0,48.0,-200.0,-210.0,-315.0,-90.0
2001-12-31,20020104.0,-130.0,20020201.0,61.0,-124.0,48.0,-155.0,-142.0,-275.0,25.0
2002-01-31,20020201.0,-126.0,20020308.0,56.0,-89.0,53.0,-50.0,-46.0,-160.0,100.0
2002-02-28,20020308.0,-2.0,20020405.0,44.0,66.0,62.0,0.0,3.0,-120.0,100.0
2002-03-31,20020405.0,-21.0,20020503.0,40.0,58.0,57.0,50.0,52.0,-50.0,170.0
2002-04-30,20020503.0,6.0,20020607.0,29.0,43.0,56.0,58.0,61.0,15.0,150.0
2002-05-31,20020607.0,24.0,20020705.0,28.0,41.0,63.0,68.0,68.0,0.0,129.0
2002-06-30,20020705.0,66.0,20020802.0,31.0,36.0,57.0,75.0,81.0,0.0,150.0
2002-07-31,20020802.0,67.0,20020906.0,26.0,6.0,58.0,60.0,68.0,20.0,150.0
2002-08-31,20020906.0,107.0,20021004.0,28.0,39.0,60.0,30.0,33.0,-50.0,100.0
2002-09-30,20021004.0,-13.0,20021101.0,27.0,-43.0,61.0,6.0,6.0,-50.0,60.0
2002-10-31,20021101.0,86.0,20021206.0,35.0,-5.0,63.0,0.0,3.0,-75.0,125.0
2002-11-30,20021206.0,-88.0,20030110.0,30.0,-40.0,60.0,36.0,32.0,-100.0,75.0
2002-12-31,20030110.0,-156.0,20030207.0,32.0,-101.0,56.0,20.0,19.0,-60.0,100.0
2003-01-31,20030207.0,185.0,20030307.0,28.0,143.0,65.0,68.0,63.0,-20.0,125.0
2003-02-28,20030307.0,-357.0,20030404.0,39.0,-308.0,65.0,10.0,4.0,-75.0,100.0
2003-03-31,20030404.0,-124.0,20030502.0,62.0,-108.0,67.0,-35.0,-23.0,-175.0,100.0
2003-04-30,20030502.0,0.0,20030606.0,44.0,-48.0,68.0,-60.0,-60.0,-150.0,50.0
2003-05-31,20030606.0,-70.0,20030703.0,42.0,-17.0,68.0,-30.0,-35.0,-125.0,90.0
2003-06-30,20030703.0,-72.0,20030801.0,27.0,-30.0,71.0,0.0,-5.0,-75.0,60.0
2003-07-31,20030801.0,-49.0,20030905.0,30.0,-44.0,68.0,10.0,12.0,-60.0,100.0
2003-08-31,20030905.0,-41.0,20031003.0,21.0,-93.0,64.0,20.0,17.0,-30.0,60.0
2003-09-30,20031003.0,125.0,20031107.0,30.0,57.0,71.0,-25.0,-21.0,-66.0,50.0
2003-10-31,20031107.0,137.0,20031205.0,28.0,126.0,68.0,65.0,60.0,0.0,150.0
2003-11-30,20031205.0,43.0,20040109.0,36.0,57.0,67.0,150.0,146.0,52.0,225.0
2003-12-31,20040109.0,16.0,20040206.0,34.0,1.0,61.0,150.0,145.0,75.0,250.0
2004-01-31,20040206.0,97.0,20040305.0,53.0,112.0,69.0,175.0,166.0,10.0,300.0
2004-02-29,20040305.0,46.0,20040402.0,31.0,21.0,65.0,130.0,129.0,45.0,210.0
2004-03-31,20040402.0,337.0,20040507.0,33.0,308.0,71.0,120.0,120.0,40.0,200.0
2004-04-30,20040507.0,346.0,20040604.0,36.0,288.0,75.0,170.0,170.0,85.0,250.0
2004-05-31,20040604.0,235.0,20040702.0,36.0,248.0,73.0,225.0,226.0,144.0,300.0
2004-06-30,20040702.0,78.0,20040806.0,30.0,112.0,73.0,250.0,246.0,160.0,310.0
