date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2005-10-31,20051025.0,,,3.0,12.0,5.0,5.0,5.0,0.0,9.0
2005-11-30,20051122.0,,,2.0,9.0,6.0,11.0,11.0,9.0,15.0
2005-12-31,20051227.0,,,2.0,-2.0,4.0,10.0,10.0,7.0,12.0
2006-01-31,20060124.0,,,2.0,-4.0,4.0,5.0,6.0,5.0,10.0
2006-02-28,20060228.0,,,,0.0,2.0,,,,
2006-03-31,20060328.0,,,5.0,21.0,3.0,4.0,7.0,3.0,15.0
2006-04-30,20060425.0,,,7.0,18.0,5.0,10.0,8.0,-4.0,15.0
2006-05-31,20060523.0,,,3.0,1.0,5.0,14.0,13.0,8.0,15.0
2006-06-30,20060627.0,,,1.0,4.0,3.0,7.0,7.0,5.0,8.0
2006-07-31,20060725.0,,,2.0,12.0,8.0,5.0,5.0,3.0,8.0
2006-08-31,20060822.0,,,2.0,3.0,7.0,10.0,9.0,6.0,11.0
2006-09-30,20060926.0,,,3.0,9.0,6.0,7.0,6.0,0.0,8.0
2006-10-31,20061024.0,,,1.0,-2.0,7.0,8.0,8.0,7.0,10.0
2006-11-30,20061128.0,,,,7.0,3.0,5.0,5.0,4.0,5.0
2006-12-31,20061226.0,,,1.0,-6.0,4.0,6.0,6.0,5.0,6.0
2007-01-31,20070123.0,,,2.0,-11.0,4.0,4.0,3.0,1.0,5.0
2007-02-28,20070227.0,,,2.0,-10.0,4.0,-2.0,-2.0,-5.0,0.0
2007-03-31,20070327.0,,,3.0,-10.0,7.0,-5.0,-6.0,-11.0,-2.0
2007-04-30,20070424.0,,,2.0,-11.0,9.0,-6.0,-7.0,-9.0,-5.0
2007-05-31,20070522.0,,,2.0,-10.0,5.0,-6.0,-6.0,-10.0,-5.0
2007-06-30,20070626.0,,,4.0,4.0,9.0,-7.0,-6.0,-10.0,0.0
2007-07-31,20070724.0,,,1.0,4.0,10.0,5.0,4.0,2.0,6.0
2007-08-31,20070828.0,,,3.0,7.0,8.0,2.0,1.0,-5.0,5.0
2007-09-30,20070925.0,,,2.0,14.0,10.0,5.0,5.0,2.0,7.0
2007-10-31,20071023.0,,,1.0,-5.0,7.0,8.0,8.0,7.0,10.0
2007-11-30,20071127.0,,,2.0,0.0,5.0,-2.0,-2.0,-6.0,0.0
2007-12-31,20071226.0,,,2.0,-4.0,6.0,1.0,1.0,-2.0,4.0
2008-01-31,20080122.0,,,3.0,-8.0,4.0,-5.0,-6.0,-10.0,-3.0
2008-02-29,20080226.0,,,3.0,-5.0,9.0,-12.0,-10.0,-15.0,-5.0
2008-03-31,20080325.0,,,3.0,6.0,6.0,-5.0,-5.0,-10.0,-2.0
2008-04-30,20080422.0,,,3.0,0.0,7.0,-1.0,-1.0,-5.0,3.0
2008-05-31,20080527.0,,,3.0,-3.0,4.0,1.0,0.0,-5.0,2.0
2008-06-30,20080624.0,,,3.0,-12.0,9.0,-5.0,-4.0,-8.0,0.0
2008-07-31,20080722.0,,,2.0,-16.0,8.0,-9.0,-9.0,-11.0,-6.0
2008-08-31,20080826.0,,,2.0,-16.0,9.0,-10.0,-11.0,-15.0,-8.0
2008-09-30,20080923.0,,,4.0,-18.0,11.0,-12.0,-12.0,-17.0,-5.0
2008-10-31,20081028.0,,,4.0,-26.0,10.0,-23.0,-24.0,-30.0,-19.0
2008-11-30,20081125.0,,,2.0,-38.0,8.0,-27.0,-27.0,-30.0,-24.0
2008-12-31,20081223.0,,,1.0,-55.0,7.0,-40.0,-40.0,-41.0,-39.0
2009-01-31,20090127.0,,,6.0,-49.0,9.0,-50.0,-51.0,-60.0,-40.0
2009-02-28,20090224.0,,,4.0,-51.0,10.0,-49.0,-49.0,-55.0,-44.0
2009-03-31,20090324.0,,,3.0,-20.0,6.0,-51.0,-50.0,-54.0,-44.0
2009-04-30,20090428.0,,,2.0,-9.0,8.0,-17.0,-17.0,-20.0,-14.0
2009-05-31,20090526.0,,,1.0,4.0,8.0,-7.0,-6.0,-7.0,-5.0
2009-06-30,20090623.0,,,5.0,6.0,7.0,5.0,3.0,-6.0,10.0
2009-07-31,20090728.0,,,4.0,14.0,8.0,8.0,6.0,-2.0,10.0
2009-08-31,20090825.0,,,4.0,14.0,7.0,16.0,15.0,8.0,20.0
2009-09-30,20090922.0,,,3.0,14.0,7.0,16.0,15.0,10.0,18.0
2009-10-31,20091027.0,,,1.0,7.0,7.0,14.0,14.0,12.0,16.0
2009-11-30,20091124.0,,,2.0,1.0,6.0,8.0,8.0,5.0,10.0
2009-12-31,20091222.0,,,2.0,-4.0,6.0,5.0,4.0,2.0,7.0
2010-01-31,20100126.0,,,2.0,-2.0,5.0,0.0,-1.0,-4.0,0.0
2010-02-28,20100223.0,,,2.0,2.0,6.0,2.0,2.0,0.0,5.0
2010-03-31,20100323.0,,,1.0,6.0,6.0,5.0,5.0,3.0,6.0
2010-04-30,20100427.0,,,1.0,30.0,6.0,10.0,10.0,7.0,11.0
2010-05-31,20100525.0,,,5.0,26.0,7.0,26.0,26.0,18.0,35.0
2010-06-30,20100622.0,,,3.0,23.0,6.0,20.0,20.0,15.0,24.0
2010-07-31,20100727.0,,,5.0,16.0,6.0,12.0,13.0,6.0,20.0
2010-08-31,20100824.0,,,3.0,11.0,7.0,8.0,10.0,6.0,14.0
2010-09-30,20100928.0,,,3.0,-2.0,6.0,6.0,6.0,0.0,10.0
2010-10-31,20101026.0,,,2.0,5.0,6.0,1.0,2.0,0.0,5.0
2010-11-30,20101123.0,,,3.0,9.0,8.0,6.0,6.0,-1.0,10.0
2010-12-31,20101228.0,,,1.0,25.0,8.0,11.0,11.0,9.0,12.0
