date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2002-12-31,20030103.0,18.6,20030203.0,0.35,18.3,9.0,16.2,16.26,15.8,17.0
2003-01-31,20030203.0,16.2,20030304.0,0.54,16.2,17.0,16.42,16.42,15.5,18.0
2003-02-28,20030304.0,,,0.23,15.4,15.0,15.8,15.8,15.4,16.3
2003-03-31,20030401.0,,,0.22,16.2,15.0,15.4,15.34,15.0,15.7
2003-04-30,20030501.0,,,0.41,16.5,17.0,17.0,16.94,15.7,17.5
2003-05-31,20030603.0,,,0.25,16.1,18.0,16.16,16.16,15.7,16.6
2003-06-30,20030701.0,,,0.14,16.4,13.0,16.3,16.23,16.0,16.4
2003-07-31,20030801.0,,,0.17,17.3,9.0,16.5,16.5,16.2,16.8
2003-08-31,20030903.0,,,0.79,19.0,17.0,17.5,17.3,15.0,18.5
2003-09-30,20031001.0,,,0.48,16.7,21.0,17.1,17.15,16.5,18.5
2003-10-31,20031103.0,,,0.25,15.6,23.0,16.3,16.26,16.0,16.8
2003-11-30,20031202.0,,,0.24,16.8,22.0,16.4,16.42,16.0,17.0
2003-12-31,20040106.0,,,0.44,18.0,19.0,17.2,17.36,16.6,18.2
2004-01-31,20040203.0,,,0.16,16.1,19.0,16.8,16.77,16.5,17.0
2004-02-29,20040302.0,,,0.34,16.4,25.0,16.6,16.57,16.0,17.1
2004-03-31,20040401.0,,,0.19,16.7,17.0,16.7,16.74,16.5,17.2
2004-04-30,20040504.0,,,0.13,16.4,20.0,17.0,16.96,16.7,17.3
2004-05-31,20040602.0,,,0.28,17.8,22.0,16.75,16.71,15.9,17.2
2004-06-30,20040701.0,,,0.67,15.4,22.0,16.8,16.91,16.3,19.8
2004-07-31,20040803.0,,,0.36,17.3,23.0,16.8,16.87,16.3,17.5
2004-08-31,20040901.0,,,0.24,16.6,24.0,16.8,16.78,16.2,17.2
2004-09-30,20041001.0,,,0.3,17.5,29.0,16.7,16.64,16.0,17.3
2004-10-31,20041103.0,,,0.26,17.0,26.0,16.5,16.54,16.2,17.2
2004-11-30,20041201.0,,,0.25,16.4,26.0,16.5,16.54,16.0,17.2
2004-12-31,20050104.0,,,0.34,18.4,26.0,16.9,17.01,16.5,17.7
2005-01-31,20050201.0,,,0.39,16.2,24.0,16.2,16.27,15.5,17.0
2005-02-28,20050301.0,,,0.14,16.3,29.0,16.6,16.6,16.4,17.0
2005-03-31,20050401.0,,,0.15,16.8,26.0,16.65,16.63,16.3,16.9
2005-04-30,20050503.0,,,0.27,17.45,28.0,16.75,16.78,16.3,17.3
2005-05-31,20050601.0,,,0.18,16.65,25.0,16.7,16.77,16.5,17.2
2005-06-30,20050701.0,,,0.32,17.52,29.0,17.0,17.05,16.3,17.7
2005-07-31,20050802.0,,,0.86,20.86,27.0,18.3,18.3,16.5,20.0
2005-08-31,20050901.0,,,0.46,16.79,26.0,17.15,17.3,16.5,18.0
2005-09-30,20051004.0,,,0.27,16.39,27.0,16.0,16.1,15.7,16.9
2005-10-31,20051101.0,,,0.43,14.74,31.0,15.5,15.5,14.8,16.8
2005-11-30,20051201.0,,,0.3,15.7,24.0,15.85,15.85,15.0,16.5
2005-12-31,20060104.0,,,0.3,17.17,24.0,16.8,16.73,16.0,17.4
2006-01-31,20060201.0,,,0.7,17.63,29.0,16.35,16.24,12.8,16.9
