date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2002-01-31,20020116.0,,,,,,,,,
2002-02-28,20020215.0,,,,,,,,,
2002-03-31,20020319.0,,,,,,,,,
2002-04-30,20020415.0,,,,,,,,,
2002-05-31,20020515.0,,,,,,,,,
2002-06-30,20020617.0,,,,,,,,,
2002-07-31,20020716.0,,,,,,,,,
2002-08-31,20020815.0,,,,,,,,,
2002-09-30,20020918.0,,,,63.0,,,,,
2002-10-31,20021016.0,,,,62.0,,,,,
2002-11-30,20021119.0,,,,64.0,,,,,
2002-12-31,20021216.0,,,,65.0,,,,,
2003-01-31,20030117.0,,,,64.0,,,,,
2003-02-28,20030219.0,,,,62.0,,,,,
2003-03-31,20030317.0,,,,52.0,,,,,
2003-04-30,20030415.0,,,2.0,52.0,10.0,55.0,55.0,52.0,60.0
2003-05-31,20030515.0,57.0,20030616.0,1.0,56.0,11.0,54.0,54.0,53.0,56.0
2003-06-30,20030616.0,,,1.0,62.0,11.0,58.0,59.0,57.0,60.0
2003-07-31,20030716.0,65.0,20030818.0,1.0,64.0,12.0,63.0,62.0,60.0,64.0
2003-08-31,20030818.0,,,1.0,71.0,14.0,63.0,63.0,60.0,65.0
2003-09-30,20030916.0,,,3.0,68.0,12.0,70.0,69.0,62.0,73.0
2003-10-31,20031016.0,,,1.0,72.0,13.0,67.0,67.0,66.0,69.0
2003-11-30,20031118.0,70.0,20031215.0,1.0,69.0,14.0,70.0,70.0,68.0,74.0
2003-12-31,20031215.0,,,2.0,70.0,10.0,68.0,69.0,67.0,72.0
2004-01-31,20040120.0,69.0,20040217.0,1.0,68.0,17.0,69.0,69.0,68.0,71.0
2004-02-29,20040217.0,64.0,20040315.0,2.0,65.0,7.0,66.0,67.0,66.0,72.0
2004-03-31,20040315.0,,,1.0,64.0,16.0,66.0,66.0,63.0,69.0
2004-04-30,20040415.0,,,1.0,69.0,13.0,65.0,65.0,63.0,67.0
2004-05-31,20040517.0,,,1.0,69.0,15.0,68.0,68.0,67.0,71.0
2004-06-30,20040615.0,68.0,20040719.0,1.0,67.0,11.0,68.0,68.0,67.0,72.0
2004-07-31,20040719.0,,,1.0,67.0,14.0,67.0,67.0,65.0,68.0
2004-08-31,20040816.0,,,1.0,71.0,12.0,67.0,67.0,65.0,69.0
2004-09-30,20040920.0,67.0,20041018.0,1.0,68.0,15.0,70.0,69.0,67.0,70.0
2004-10-31,20041018.0,71.0,20041116.0,1.0,72.0,14.0,68.0,68.0,67.0,71.0
