date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2000-02-02,20000202.0,,,,5.75,50.0,6.0,6.0,6.0,6.0
2000-03-21,20000321.0,,,,6.0,22.0,6.0,6.0,6.0,6.0
2000-05-16,20000516.0,,,0.08,6.5,61.0,6.5,6.47,6.25,6.5
2000-06-28,20000628.0,,,0.09,6.5,67.0,6.5,6.53,6.5,6.75
2000-08-22,20000822.0,,,0.06,6.5,75.0,6.5,6.51,6.5,6.75
2000-10-03,20001003.0,,,,6.5,59.0,6.5,6.5,6.5,6.5
2000-11-15,20001115.0,,,,6.5,44.0,6.5,6.5,6.5,6.5
2000-12-19,20001219.0,,,0.04,6.5,42.0,6.5,6.49,6.25,6.5
2001-01-03,20010103.0,,,,6.0,,,,,
2001-01-31,20010131.0,,,0.1,5.5,39.0,5.5,5.54,5.5,5.75
2001-03-20,20010320.0,,,0.12,5.0,52.0,5.0,4.92,4.75,5.0
2001-04-18,20010418.0,,,0.12,4.5,,,,,
2001-05-15,20010515.0,,,0.06,4.0,51.0,4.0,4.02,4.0,4.25
2001-06-27,20010627.0,,,0.12,3.75,68.0,3.5,3.62,3.5,3.75
2001-08-21,20010821.0,,,,3.5,83.0,3.5,3.5,3.5,3.5
2001-09-17,20010917.0,,,,3.0,,,,,
2001-10-02,20011002.0,,,0.1,2.5,63.0,2.5,2.55,2.5,2.75
2001-11-05,,,,,,,,0.5,0.5,0.5
2001-11-06,20011106.0,,,0.12,2.0,88.0,2.0,2.11,2.0,2.25
2001-12-11,20011211.0,,,0.09,1.75,61.0,1.75,1.76,1.5,2.0
2002-01-30,20020130.0,,,0.07,1.75,69.0,1.75,1.73,1.5,1.75
2002-03-19,20020319.0,,,,1.75,66.0,1.75,1.75,1.75,1.75
2002-05-07,20020507.0,,,,1.75,62.0,1.75,1.75,1.75,1.75
2002-06-26,20020626.0,,,,1.75,57.0,1.75,1.75,1.75,1.75
2002-08-13,20020813.0,,,0.07,1.75,101.0,1.75,1.74,1.25,1.75
2002-09-24,20020924.0,,,0.02,1.75,111.0,1.75,1.75,1.5,1.75
2002-11-06,20021106.0,,,0.16,1.25,139.0,1.5,1.54,1.25,1.75
2002-12-10,20021210.0,,,,1.25,58.0,1.25,1.25,1.25,1.25
2003-01-29,20030129.0,,,0.04,1.25,88.0,1.25,1.24,1.0,1.25
2003-03-18,20030318.0,,,0.08,1.25,75.0,1.25,1.22,1.0,1.25
2003-05-06,20030506.0,,,0.05,1.25,81.0,1.25,1.24,1.0,1.25
2003-06-25,20030625.0,,,0.14,1.0,157.0,1.0,0.94,0.75,1.25
2003-08-12,20030812.0,,,,1.0,95.0,1.0,1.0,1.0,1.0
2003-09-16,20030916.0,,,,1.0,101.0,1.0,1.0,1.0,1.0
2003-10-28,20031028.0,,,,1.0,99.0,1.0,1.0,1.0,1.0
2003-12-09,20031209.0,,,,1.0,82.0,1.0,1.0,1.0,1.0
2004-01-28,20040128.0,,,,1.0,86.0,1.0,1.0,1.0,1.0
2004-03-16,20040316.0,,,,1.0,103.0,1.0,1.0,1.0,1.0
2004-05-04,20040504.0,,,,1.0,97.0,1.0,1.0,1.0,1.0
2004-06-30,20040630.0,,,0.05,1.25,143.0,1.25,1.25,1.0,1.5
2004-08-10,20040810.0,,,0.07,1.5,69.0,1.5,1.48,1.25,1.5
2004-09-21,20040921.0,,,0.04,1.75,94.0,1.75,1.74,1.5,1.75
2004-11-10,20041110.0,,,,2.0,90.0,2.0,2.0,2.0,2.0
2004-12-14,20041214.0,,,0.02,2.25,108.0,2.25,2.25,2.0,2.25
2005-02-02,20050202.0,,,,2.5,87.0,2.5,2.5,2.5,2.5
2005-03-22,20050322.0,,,0.05,2.75,106.0,2.75,2.74,2.5,2.75
2005-05-03,20050503.0,,,,3.0,104.0,3.0,3.0,3.0,3.0
2005-06-30,20050630.0,,,0.03,3.25,94.0,3.25,3.25,3.0,3.25
2005-08-09,20050809.0,,,,3.5,79.0,3.5,3.5,3.5,3.5
2005-09-20,20050920.0,,,0.1,3.75,111.0,3.75,3.7,3.5,3.75
2005-11-01,20051101.0,,,0.04,4.0,88.0,4.0,3.99,3.75,4.0
2005-12-13,20051213.0,,,,4.25,101.0,4.25,4.25,4.25,4.25
2006-01-31,20060131.0,,,0.03,4.5,73.0,4.5,4.5,4.25,4.5
2006-03-28,20060328.0,,,,4.75,106.0,4.75,4.75,4.75,4.75
2006-05-10,20060510.0,,,,5.0,92.0,5.0,5.0,5.0,5.0
