date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000330.0,,,0.2,7.3,44.0,7.0,7.1,6.6,7.8
2000-03-31,20000629.0,4.8,20000728.0,0.1,5.5,47.0,5.4,6.0,5.2,5.6
2000-06-30,20000928.0,,,0.1,5.6,42.0,5.3,5.4,5.2,5.5
2000-09-30,20001221.0,,,0.1,2.2,40.0,2.4,3.6,2.1,2.6
2000-12-31,20010329.0,,,0.1,1.0,51.0,1.1,1.1,0.9,3.3
2001-03-31,20010629.0,1.3,20010727.0,0.2,1.2,45.0,1.3,1.2,0.7,1.5
2001-06-30,20010928.0,,,0.1,0.3,48.0,0.1,0.1,-0.1,0.2
2001-09-30,20011221.0,,,0.1,-1.3,43.0,-1.1,-1.1,-1.4,-1.0
2001-12-31,20020328.0,,,0.1,1.7,55.0,1.4,1.4,1.2,1.6
2002-03-31,20020627.0,5.0,20020731.0,0.1,6.1,53.0,5.6,5.6,5.3,6.1
2002-06-30,20020927.0,,,0.1,1.3,58.0,1.1,2.2,0.8,1.4
2002-09-30,20021220.0,,,0.1,4.0,56.0,4.0,4.0,3.7,4.1
2002-12-31,20030327.0,,,,1.4,61.0,1.4,1.4,1.2,1.5
2003-03-31,20030626.0,,,0.1,1.4,63.0,1.9,1.9,1.5,1.9
2003-06-30,20030926.0,,,0.1,3.3,66.0,3.1,3.1,3.0,3.4
2003-09-30,20031223.0,,,0.1,8.2,62.0,8.2,8.2,8.2,8.4
2003-12-31,20040325.0,,,0.1,4.1,66.0,4.1,4.1,3.9,4.3
2004-03-31,20040625.0,4.5,20040730.0,0.1,3.9,62.0,4.4,4.4,4.0,4.7
2004-06-30,20040929.0,,,0.2,3.3,76.0,3.0,3.0,2.8,3.7
2004-09-30,20041222.0,,,0.1,4.0,62.0,3.9,3.9,3.6,4.2
2004-12-31,20050330.0,,,0.1,3.8,70.0,4.0,4.0,3.6,4.2
2005-03-31,20050629.0,,,0.1,3.8,72.0,3.7,3.7,3.2,4.0
2005-06-30,20050929.0,,,0.1,3.3,65.0,3.3,3.3,2.9,3.5
2005-09-30,20051221.0,,,0.1,4.1,63.0,4.3,4.3,4.1,4.5
2005-12-31,20060330.0,,,0.1,1.7,68.0,1.7,1.7,1.4,1.9
2006-03-31,20060629.0,,,0.1,5.6,66.0,5.6,5.6,5.2,5.9
2006-06-30,20060928.0,,,0.1,2.6,70.0,2.9,2.9,2.5,3.0
2006-09-30,20061221.0,,,0.1,2.0,67.0,2.2,2.2,2.0,2.4
2006-12-31,20070329.0,,,0.1,2.5,75.0,2.2,2.2,2.0,2.5
2007-03-31,20070628.0,0.6,20070727.0,0.1,0.7,74.0,0.8,0.8,0.5,1.5
2007-06-30,20070927.0,,,0.1,3.8,74.0,3.8,3.8,3.5,4.0
2007-09-30,20071220.0,,,0.1,4.9,73.0,4.9,4.9,4.7,5.2
2007-12-31,20080327.0,,,0.1,0.6,70.0,0.6,0.6,0.0,1.0
2008-03-31,20080626.0,0.9,20080731.0,0.1,1.0,70.0,1.0,1.0,0.9,1.3
2008-06-30,20080926.0,,,0.1,2.8,76.0,3.3,3.3,3.0,3.5
2008-09-30,20081223.0,,,0.1,-0.5,65.0,-0.5,-0.5,-0.8,-0.4
2008-12-31,20090326.0,,,0.2,-6.3,69.0,-6.6,-6.5,-7.1,-6.0
2009-03-31,20090625.0,-6.4,20090731.0,0.1,-5.5,72.0,-5.7,-5.7,-5.9,-5.1
2009-06-30,20090930.0,,,0.1,-0.7,78.0,-1.2,-1.2,-1.5,-1.0
2009-09-30,20091222.0,,,0.2,2.2,73.0,2.8,2.8,2.5,3.7
2009-12-31,20100326.0,,,0.1,5.6,76.0,5.9,5.8,5.5,6.0
2010-03-31,20100625.0,3.7,20100730.0,0.1,2.7,79.0,3.0,3.0,2.4,3.6
2010-06-30,20100930.0,,,0.1,1.7,81.0,1.6,1.6,1.3,2.2
2010-09-30,20101222.0,,,0.2,2.6,71.0,2.8,2.8,2.5,3.3
2010-12-31,20110325.0,,,0.2,3.1,81.0,3.0,3.0,2.7,3.4
2011-03-31,20110624.0,0.4,20110729.0,0.1,1.9,71.0,1.9,1.9,1.7,2.3
2011-06-30,20110929.0,,,0.1,1.3,80.0,1.2,1.2,1.0,1.5
2011-09-30,20111222.0,,,0.2,1.8,82.0,2.0,2.0,1.5,2.8
2011-12-31,20120329.0,,,0.3,3.0,84.0,3.0,3.1,1.5,3.9
2012-03-31,20120628.0,2.0,20120727.0,0.1,1.9,75.0,1.9,1.9,1.5,2.3
2012-06-30,20120927.0,,,0.1,1.3,78.0,1.7,1.7,1.4,1.8
2012-09-30,20121220.0,,,0.1,3.1,80.0,2.8,2.8,2.6,3.0
2012-12-31,20130328.0,,,0.2,0.4,79.0,0.5,0.5,0.1,0.8
2013-03-31,20130626.0,1.1,20130731.0,0.1,1.8,82.0,2.4,2.3,1.6,2.6
2013-06-30,20130926.0,,,0.2,2.5,79.0,2.6,2.6,1.8,3.1
2013-09-30,20131220.0,,,0.1,4.1,72.0,3.6,3.6,3.3,3.8
2013-12-31,20140327.0,,,0.2,2.6,79.0,2.7,2.7,2.2,3.1
2014-03-31,20140625.0,-2.1,20140730.0,0.3,-2.9,76.0,-1.8,-1.8,-2.4,-0.5
2014-06-30,20140926.0,,,0.2,4.6,81.0,4.6,4.6,3.4,5.0
2014-09-30,20141223.0,,,0.2,5.0,75.0,4.3,4.3,3.6,4.7
2014-12-31,20150327.0,,,0.1,2.2,83.0,2.4,2.4,1.8,2.7
2015-03-31,20150624.0,0.6,20150730.0,0.2,-0.2,76.0,-0.2,-0.2,-0.5,0.4
2015-06-30,20150925.0,,,0.2,3.9,76.0,3.7,3.7,2.7,4.1
2015-09-30,20151222.0,,,0.1,2.0,76.0,1.9,1.9,1.5,2.1
2015-12-31,20160325.0,,,0.2,1.4,73.0,1.0,1.0,0.0,1.4
2016-03-31,20160628.0,0.8,20160729.0,0.1,1.1,72.0,1.0,1.0,0.8,1.2
2016-06-30,20160929.0,,,0.1,1.4,76.0,1.3,1.3,0.9,1.7
