date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
2006-03-31,20060629.0,2.1,20060728.0,,2.0,1.0,2.0,2.0,2.0,2.0
2006-06-30,20060928.0,,,0.2,2.7,5.0,2.8,2.7,2.4,2.8
2006-09-30,20061221.0,,,,2.2,7.0,2.2,2.2,2.2,2.2
2006-12-31,20070329.0,,,,1.8,7.0,1.9,1.9,1.9,1.9
2007-03-31,20070628.0,,,,2.4,6.0,2.2,2.2,2.2,2.2
2007-06-30,20070927.0,,,,1.4,4.0,1.3,1.3,1.3,1.3
2007-09-30,20071220.0,,,,2.0,8.0,1.8,1.8,1.8,1.8
2007-12-31,20080327.0,,,,2.5,12.0,2.7,2.7,2.7,2.7
2008-03-31,20080626.0,,,,2.3,12.0,2.1,2.1,2.1,2.1
2008-06-30,20080926.0,,,,2.2,14.0,2.1,2.1,2.1,2.2
2008-09-30,20081223.0,,,,2.4,11.0,2.6,2.6,2.6,2.6
2008-12-31,20090326.0,,,,0.9,12.0,0.8,0.8,0.8,0.8
2009-03-31,20090625.0,1.1,20090731.0,,1.6,10.0,1.5,1.5,1.5,1.5
2009-06-30,20090930.0,,,,2.0,15.0,2.0,2.0,1.9,2.0
2009-09-30,20091222.0,,,,1.2,18.0,1.3,1.3,1.3,1.3
2009-12-31,20100326.0,,,0.1,1.8,16.0,1.6,1.6,1.3,1.6
2010-03-31,20100625.0,1.2,20100730.0,,0.7,17.0,0.6,0.6,0.6,0.6
2010-06-30,20100930.0,,,,1.0,16.0,1.1,1.1,1.1,1.1
2010-09-30,20101222.0,,,,0.5,17.0,0.8,0.8,0.7,0.8
2010-12-31,20110325.0,,,0.0,0.4,19.0,0.4,0.4,0.3,0.5
2011-03-31,20110624.0,,,0.0,1.6,19.0,1.4,1.4,1.4,1.4
2011-06-30,20110929.0,,,0.0,2.3,15.0,2.2,2.2,2.2,2.2
2011-09-30,20111222.0,,,0.0,2.1,16.0,2.0,2.0,2.0,2.0
2011-12-31,20120329.0,,,0.0,1.3,17.0,1.3,1.3,1.3,1.3
2012-03-31,20120628.0,2.2,20120727.0,0.0,2.3,13.0,2.1,2.1,2.1,2.1
2012-06-30,20120927.0,,,0.0,1.7,15.0,1.8,1.8,1.8,1.8
2012-09-30,20121220.0,,,0.1,1.1,14.0,1.1,1.1,1.1,1.3
2012-12-31,20130328.0,,,0.0,1.0,13.0,0.9,0.9,0.9,0.9
2013-03-31,20130626.0,1.4,20130731.0,0.0,1.3,14.0,1.3,1.3,1.3,1.3
2013-06-30,20130926.0,,,0.3,0.6,10.0,0.8,0.9,0.8,1.8
2013-09-30,20131220.0,,,0.0,1.4,10.0,1.5,1.5,1.5,1.5
2013-12-31,20140327.0,,,0.1,1.3,12.0,1.3,1.3,1.1,1.3
2014-03-31,20140625.0,,,0.1,1.2,9.0,1.2,1.2,1.2,1.4
2014-06-30,20140926.0,,,0.0,2.0,12.0,2.0,2.0,2.0,2.0
2014-09-30,20141223.0,,,0.0,1.4,10.0,1.4,1.4,1.3,1.4
2014-12-31,20150327.0,,,0.0,1.1,13.0,1.1,1.1,1.1,1.1
2015-03-31,20150624.0,1.0,20150730.0,0.2,0.8,14.0,0.8,0.8,0.1,0.8
2015-06-30,20150925.0,,,0.0,1.9,10.0,1.8,1.8,1.8,1.8
2015-09-30,20151222.0,,,0.2,1.4,10.0,1.3,1.4,1.3,1.9
2015-12-31,20160325.0,,,0.0,1.3,11.0,1.3,1.3,1.3,1.3
2016-03-31,20160628.0,2.1,20160729.0,0.0,2.0,6.0,2.1,2.1,2.1,2.1
2016-06-30,20160929.0,,,0.0,1.8,5.0,1.8,1.8,1.7,1.8
2016-09-30,20161222.0,,,0.0,1.7,4.0,1.7,1.7,1.7,1.7
2016-12-31,20170330.0,,,0.0,1.3,7.0,1.2,1.2,1.2,1.3
2017-03-31,20170629.0,1.8,20170728.0,0.0,2.0,7.0,2.1,2.1,2.0,2.1
2017-06-30,20170928.0,,,0.0,0.9,6.0,0.9,0.9,0.9,0.9
2017-09-30,20171221.0,,,0.0,1.3,7.0,1.4,1.4,1.4,1.4
2017-12-31,20180328.0,,,0.0,1.9,7.0,1.9,1.9,1.9,1.9
2018-03-31,20180628.0,2.2,20180727.0,,2.3,2.0,,,,
2018-06-30,20180927.0,,,0.0,2.1,6.0,2.0,2.0,2.0,2.0
2018-09-30,20181221.0,,,0.0,1.6,4.0,1.5,1.5,1.5,1.5
2018-12-31,20190328.0,,,0.0,1.8,5.0,1.7,1.7,1.7,1.7
2019-03-31,20190530.0,,,,1.0,2.0,,,,
