date,ECO_RELEASE_DT,FIRST_REVISION,FIRST_REVISION_DATE,FORECAST_STANDARD_DEVIATION,ACTUAL_RELEASE,BN_SURVEY_NUMBER_OBSERVATIONS,BN_SURVEY_MEDIAN,BN_SURVEY_AVERAGE,BN_SURVEY_LOW,BN_SURVEY_HIGH
1999-12-31,20000315.0,-96.2,20000620.0,1.4,-99.8,21.0,-95.0,-95.18,-98.0,-92.0
2000-03-31,20000620.0,-101.5,20000913.0,22.0,-102.3,29.0,-109.5,-105.31,-125.0,0.2
2000-06-30,20000913.0,-105.0,20001214.0,1.6,-106.1,24.0,-108.0,-108.2,-112.0,-100.0
2000-09-30,20001214.0,-113.1,20010315.0,2.1,-113.8,28.0,-113.6,-113.41,-117.0,-107.8
2000-12-31,20010315.0,-116.3,20010621.0,1.3,-115.3,27.0,-117.65,-117.73,-120.5,-116.0
2001-03-31,20010621.0,-111.8,20010912.0,1.7,-109.6,27.0,-106.3,-106.83,-115.0,-103.7
2001-06-30,20010912.0,-107.6,20011212.0,1.9,-106.5,29.0,-106.0,-106.19,-112.4,-102.0
2001-09-30,20011212.0,-98.5,20020314.0,2.8,-95.0,27.0,-93.7,-94.13,-104.1,-89.5
2001-12-31,20020314.0,-95.1,20020620.0,1.9,-98.8,45.0,-101.5,-101.4,-106.0,-95.7
2002-03-31,20020620.0,,,2.8,-112.5,39.0,-108.0,-107.46,-114.4,-98.8
2002-06-30,20020912.0,-127.6,20021212.0,3.0,-130.0,42.0,-125.0,-124.95,-131.0,-118.0
2002-09-30,20021212.0,-126.3,20030314.0,3.8,-127.0,36.0,-132.0,-132.51,-147.8,-124.0
2002-12-31,20030314.0,-128.6,20030619.0,1.7,-136.9,42.0,-136.5,-136.86,-143.0,-135.0
2003-03-31,20030619.0,-138.7,20030915.0,2.6,-136.1,40.0,-141.0,-140.71,-145.0,-132.0
2003-06-30,20030915.0,-139.4,20031216.0,1.6,-138.7,33.0,-138.2,-138.57,-143.0,-134.5
2003-09-30,20031216.0,-135.3,20040312.0,1.4,-135.0,42.0,-136.0,-136.37,-140.0,-133.0
2003-12-31,20040312.0,-127.0,20040618.0,3.5,-127.5,45.0,-136.0,-135.69,-140.0,-115.0
2004-03-31,20040618.0,-147.2,20040914.0,3.5,-144.9,42.0,-141.0,-140.58,-150.0,-130.0
2004-06-30,20040914.0,-164.4,20041216.0,3.7,-166.2,43.0,-158.25,-158.79,-166.8,-147.5
2004-09-30,20041216.0,-165.9,20050316.0,2.3,-164.7,53.0,-170.6,-170.57,-175.0,-166.0
2004-12-31,20050316.0,-188.4,20050617.0,2.7,-187.9,50.0,-183.0,-182.99,-189.0,-175.5
2005-03-31,20050617.0,-198.7,20050916.0,4.0,-195.1,52.0,-190.0,-189.36,-201.0,-170.0
2005-06-30,20050916.0,-197.8,20051216.0,2.4,-195.7,43.0,-193.0,-193.12,-200.0,-184.5
2005-09-30,20051216.0,-185.4,20060314.0,6.2,-195.8,48.0,-205.0,-203.08,-219.4,-185.0
2005-12-31,20060314.0,-223.1,20060616.0,4.3,-224.9,48.0,-218.0,-217.51,-225.0,-205.0
2006-03-31,20060616.0,-213.2,20060918.0,7.6,-208.7,46.0,-222.0,-220.46,-227.8,-180.0
2006-06-30,20060918.0,-217.1,20061218.0,2.6,-218.4,42.0,-214.0,-214.0,-220.0,-208.0
2006-09-30,20061218.0,-229.4,20070314.0,3.3,-225.6,39.0,-225.0,-224.82,-235.0,-212.0
2006-12-31,20070314.0,-187.9,20070615.0,4.3,-195.8,48.0,-203.5,-203.01,-215.0,-190.0
2007-03-31,20070615.0,-197.1,20070914.0,4.4,-192.6,51.0,-201.0,-200.89,-210.0,-182.4
2007-06-30,20070914.0,-188.9,20071217.0,3.3,-190.8,52.0,-190.0,-190.16,-202.0,-180.0
2007-09-30,20071217.0,-177.4,20080317.0,4.1,-178.5,43.0,-183.0,-183.9,-196.0,-176.0
2007-12-31,20080317.0,-167.2,20080617.0,3.3,-172.9,35.0,-183.8,-183.43,-192.0,-175.0
2008-03-31,20080617.0,-175.6,20080917.0,4.3,-176.4,46.0,-172.5,-173.01,-185.2,-165.0
2008-06-30,20080917.0,-180.9,20081217.0,3.4,-183.1,44.0,-180.0,-180.76,-188.1,-169.0
2008-09-30,20081217.0,-181.3,20090318.0,2.8,-174.1,45.0,-179.0,-178.56,-185.0,-169.0
2008-12-31,20090318.0,-154.9,20090617.0,9.3,-132.8,36.0,-137.05,-137.85,-172.0,-116.0
2009-03-31,20090617.0,-104.5,20090916.0,6.4,-101.5,37.0,-85.0,-85.2,-112.0,-74.7
2009-06-30,20090916.0,-98.0,20091216.0,5.0,-98.8,39.0,-92.0,-91.19,-100.0,-66.8
2009-09-30,20091216.0,-102.3,20100318.0,4.1,-108.0,40.0,-107.5,-107.79,-115.1,-99.5
2009-12-31,20100318.0,-100.9,20100617.0,3.2,-115.6,39.0,-119.0,-118.37,-123.0,-105.0
2010-03-31,20100617.0,-109.2,20100916.0,4.2,-109.0,46.0,-121.85,-121.72,-133.7,-115.0
2010-06-30,20100916.0,-123.2,20101216.0,2.3,-123.3,39.0,-125.0,-124.33,-130.0,-119.0
2010-09-30,20101216.0,-125.5,20110316.0,2.7,-127.2,37.0,-126.0,-125.99,-132.0,-115.0
2010-12-31,20110316.0,-112.2,20110616.0,3.99,-113.3,43.0,-110.0,-110.43,-132.2,-105.0
2011-03-31,20110616.0,-119.6,20110915.0,5.55,-119.3,40.0,-130.0,-129.65,-139.8,-120.0
2011-06-30,20110915.0,-124.7,20111215.0,3.74,-118.0,34.0,-122.4,-123.16,-135.5,-117.0
2011-09-30,20111215.0,-107.6,20120314.0,2.93,-110.3,33.0,-108.5,-108.37,-115.0,-100.0
2011-12-31,20120314.0,-118.7,20120614.0,3.87,-124.1,43.0,-115.0,-114.75,-126.0,-103.0
2012-03-31,20120614.0,-133.6,20120918.0,4.18,-137.3,37.0,-131.9,-132.05,-139.5,-123.8
2012-06-30,20120918.0,-118.1,20121218.0,3.67,-117.4,41.0,-125.0,-125.28,-137.0,-118.8
2012-09-30,20121218.0,-112.4,20130314.0,3.19,-107.5,41.0,-103.0,-103.94,-116.1,-98.5
2012-12-31,20130314.0,-102.3,20130614.0,2.5300000000000002,-110.4,40.0,-112.5,-112.52,-120.0,-108.3
2013-03-31,20130614.0,-104.9,20130919.0,4.11,-106.1,40.0,-111.25,-111.04,-122.4,-105.0
2013-06-30,20130919.0,-96.6,20131217.0,2.68,-98.9,41.0,-97.0,-97.12,-103.8,-90.6
2013-09-30,20131217.0,-96.4,20140319.0,2.81,-94.8,35.0,-100.2,-99.81,-110.0,-95.5
2013-12-31,20140319.0,-87.3,20140618.0,2.45,-81.1,41.0,-88.0,-87.39,-93.0,-81.2
2014-03-31,20140618.0,-102.1,20140917.0,4.8100000000000005,-111.2,40.0,-97.0,-98.89,-108.0,-89.0
2014-06-30,20140917.0,-98.4,20141217.0,3.33,-98.5,38.0,-113.4,-112.67,-118.0,-103.8
2014-09-30,20141217.0,-98.9,20150319.0,4.17,-100.3,35.0,-97.5,-98.28,-106.0,-91.0
2014-12-31,20150319.0,-103.1,20150618.0,3.87,-113.5,39.0,-104.1,-104.39,-114.8,-98.0
2015-03-31,20150618.0,-118.3,20150917.0,3.99,-113.3,30.0,-117.3,-118.47,-130.0,-110.0
2015-06-30,20150917.0,-111.1,20151217.0,3.9,-109.7,32.0,-111.5,-111.34,-119.0,-97.1
2015-09-30,20151217.0,-129.9,20160317.0,5.4,-124.1,32.0,-118.6,-119.02,-133.0,-110.0
2015-12-31,20160317.0,-113.4,20160616.0,3.26,-125.3,27.0,-118.0,-117.82,-124.5,-110.0
2016-03-31,20160616.0,-131.8,20160915.0,5.17,-124.7,32.0,-125.0,-123.7,-135.0,-113.9
2016-06-30,20160915.0,-118.3,20161215.0,3.89,-119.9,31.0,-121.0,-121.33,-130.0,-112.4
2016-09-30,20161215.0,-116.0,20170321.0,2.46,-113.0,29.0,-111.6,-111.96,-121.7,-108.2
