,ADP CHNG,date_ADP CHNG,tsp_ADP CHNG,AHE MOM%,date_AHE MOM%,tsp_AHE MOM%,BAKEOIL,date_BAKEOIL,tsp_BAKEOIL,CHPMINDX,date_CHPMINDX,tsp_CHPMINDX,CONCCONF,date_CONCCONF,tsp_CONCCONF,CONSCURR,date_CONSCURR,tsp_CONSCURR,CONSPXMD,date_CONSPXMD,tsp_CONSPXMD,CONSSENT,date_CONSSENT,tsp_CONSSENT,CPI CHNG,date_CPI CHNG,tsp_CPI CHNG,CPI XYOY,date_CPI XYOY,tsp_CPI XYOY,CPI YOY,date_CPI YOY,tsp_CPI YOY,CPUPXCHG,date_CPUPXCHG,tsp_CPUPXCHG,DGNOCHNG,date_DGNOCHNG,tsp_DGNOCHNG,DGNOXTCH,date_DGNOXTCH,tsp_DGNOXTCH,DOEASCRD,date_DOEASCRD,tsp_DOEASCRD,EMPRGBCI,date_EMPRGBCI,tsp_EMPRGBCI,FDIDSGMO,date_FDIDSGMO,tsp_FDIDSGMO,FRNTTOTL,date_FRNTTOTL,tsp_FRNTTOTL,INJCJC,date_INJCJC,tsp_INJCJC,IP  CHNG,date_IP  CHNG,tsp_IP  CHNG,JOLTTOTL,date_JOLTTOTL,tsp_JOLTTOTL,LMCILMCC,date_LMCILMCC,tsp_LMCILMCC,MPMIUSCA,date_MPMIUSCA,tsp_MPMIUSCA,MPMIUSMA,date_MPMIUSMA,tsp_MPMIUSMA,MPMIUSSA,date_MPMIUSSA,tsp_MPMIUSSA,NAPMNMI ,date_NAPMNMI ,tsp_NAPMNMI ,NAPMPMI,date_NAPMPMI,tsp_NAPMPMI,NAPMPRIC,date_NAPMPRIC,tsp_NAPMPRIC,NFP PCH,date_NFP PCH,tsp_NFP PCH,NFP TCH,date_NFP TCH,tsp_NFP TCH,NHCHSTCH,date_NHCHSTCH,tsp_NHCHSTCH,NHSLCHNG,date_NHSLCHNG,tsp_NHSLCHNG,NHSLTOT,date_NHSLTOT,tsp_NHSLTOT,NHSPATOT,date_NHSPATOT,tsp_NHSPATOT,NHSPSTOT,date_NHSPSTOT,tsp_NHSPSTOT,NYPMCURR,date_NYPMCURR,tsp_NYPMCURR,OUTFGAF,date_OUTFGAF,tsp_OUTFGAF,PCE CMOM,date_PCE CMOM,tsp_PCE CMOM,PCE CRCH,date_PCE CRCH,tsp_PCE CRCH,PCE CYOY,date_PCE CYOY,tsp_PCE CYOY,PITLCHNG,date_PITLCHNG,tsp_PITLCHNG,PRUSTOT,date_PRUSTOT,tsp_PRUSTOT,RCHSINDX,date_RCHSINDX,tsp_RCHSINDX,RSTAMOM,date_RSTAMOM,tsp_RSTAMOM,RSTAXAGM,date_RSTAXAGM,tsp_RSTAXAGM,RSTAXMOM,date_RSTAXMOM,tsp_RSTAXMOM,SAARTOTL,date_SAARTOTL,tsp_SAARTOTL,SBOITOTL,date_SBOITOTL,tsp_SBOITOTL,USHBMIDX,date_USHBMIDX,tsp_USHBMIDX,USPHTYOY,date_USPHTYOY,tsp_USPHTYOY,USTBTOT,date_USTBTOT,tsp_USTBTOT,USTGTTCB,date_USTGTTCB,tsp_USTGTTCB,USURTOT,date_USURTOT,tsp_USURTOT
0,99.0,2006-07-31,2006-08-02,0.2,2010-01-31,2010-02-05,922.0,2015-03-06,2015-03-06,54.6,1999-12-31,1999-12-30,141.4,1999-12-31,1999-12-28,109.3,2015-01-31,2015-01-30,2.5,2015-01-31,2015-01-30,105.4,1999-12-31,1999-12-22,0.3,1999-12-31,2000-01-14,2.2,2002-09-30,2002-10-18,1.5,2002-09-30,2002-10-18,0.1,1999-12-31,2000-01-14,4.1,1999-12-31,2000-01-27,1.1,2001-11-30,2001-12-28,3400.0,2001-05-18,2001-05-23,9.6,2002-11-30,2002-11-15,0.2,2014-01-31,2014-02-19,59.0,2004-08-31,2004-10-18,309.0,1999-12-31,2000-01-06,0.4,1999-12-31,2000-01-14,2929.0,2010-09-30,2010-11-09,2.5,2014-09-30,2014-10-06,,,,,,,,,,44.6,2008-01-31,2008-02-05,55.5,1999-12-31,2000-01-03,47.0,2000-06-30,2000-07-03,123.0,2010-03-31,2010-04-02,315.0,1999-12-31,2000-01-07,-4.0,2009-12-31,2010-01-20,4.6,2006-05-31,2006-06-26,900.0,1999-12-31,2000-02-02,1698.0,2002-07-31,2002-08-16,1712.0,1999-12-31,2000-01-19,60.1,2012-01-31,2012-02-02,8.6,1999-12-31,1999-12-16,0.2,2005-05-31,2005-06-30,0.8,1999-12-31,2000-01-31,1.6,2004-05-31,2004-06-28,0.3,1999-12-31,2000-01-31,63.2,2013-08-31,2013-09-06,12.0,2005-10-31,2005-10-25,0.1,2001-05-31,2001-06-13,-0.2,2011-12-31,2012-01-12,-0.2,2001-05-31,2001-06-13,18.3,2002-12-31,2003-01-03,89.1,2009-10-31,2009-11-10,,,,4.6,2009-05-31,2009-07-01,-25.5,1999-12-31,2000-02-18,-58.633,2015-09-30,2015-10-28,4.1,1999-12-31,2000-01-07
1,107.0,2006-08-31,2006-08-30,0.1,2010-02-28,2010-03-05,866.0,2015-03-13,2015-03-13,55.6,2000-01-31,2000-01-31,144.7,2000-01-31,2000-01-25,106.9,2015-02-28,2015-02-27,2.8,2015-02-28,2015-02-27,112.0,2000-01-31,2000-01-28,0.2,2000-01-31,2000-02-18,2.2,2002-10-31,2002-11-19,2.0,2002-10-31,2002-11-19,0.2,2000-01-31,2000-02-18,-1.3,2000-01-31,2000-02-24,1.4,2001-12-31,2002-01-29,-1800.0,2001-05-25,2001-05-31,10.6,2002-12-31,2002-12-16,-0.2,2014-02-28,2014-03-14,63.4,2004-09-30,2004-11-16,309.0,2000-01-07,2000-01-13,1.0,2000-01-31,2000-02-15,3362.0,2010-10-31,2010-12-07,4.0,2014-10-31,2014-11-10,,,,,,,,,,49.3,2008-02-29,2008-03-05,56.3,2000-01-31,2000-02-01,61.9,2000-07-31,2000-08-01,231.0,2010-04-30,2010-05-07,387.0,2000-01-31,2000-02-04,2.8,2010-01-31,2010-02-17,-3.0,2006-06-30,2006-07-27,882.0,2000-01-31,2000-03-02,1669.0,2002-08-31,2002-09-19,1775.0,2000-01-31,2000-02-16,63.1,2012-02-29,2012-03-02,9.1,2000-01-31,2000-01-20,0.0,2005-06-30,2005-08-02,0.5,2000-01-31,2000-02-28,1.5,2004-06-30,2004-08-03,0.7,2000-01-31,2000-02-28,63.2,2013-09-30,2013-10-22,9.0,2005-11-30,2005-11-22,0.2,2001-06-30,2001-07-13,0.7,2012-01-31,2012-02-14,-0.2,2001-06-30,2001-07-13,16.2,2003-01-31,2003-02-03,88.3,2009-11-30,2009-12-08,,,,9.2,2009-06-30,2009-08-04,-28.003,2000-01-31,2000-03-21,-58.411,2015-10-31,2015-11-24,4.0,2000-01-31,2000-02-04
2,78.0,2006-09-30,2006-10-04,-0.1,2010-03-31,2010-04-02,825.0,2015-03-20,2015-03-20,56.7,2000-02-29,2000-02-29,141.8,2000-02-29,2000-02-29,105.0,2015-03-31,2015-03-27,3.0,2015-03-31,2015-03-27,111.3,2000-02-29,2000-03-03,0.5,2000-02-29,2000-03-17,2.0,2002-11-30,2002-12-17,2.2,2002-11-30,2002-12-17,0.2,2000-02-29,2000-03-17,-2.3,2000-02-29,2000-03-24,1.3,2002-01-31,2002-02-27,1600.0,2001-06-01,2001-06-06,20.7,2003-01-31,2003-01-15,0.6,2014-03-31,2014-04-11,48.1,2004-10-31,2004-12-15,272.0,2000-01-14,2000-01-20,0.3,2000-02-29,2000-03-15,3248.0,2010-11-30,2011-01-11,2.9,2014-11-30,2014-12-08,,,,,,,,,,49.6,2008-03-31,2008-04-03,56.9,2000-02-29,2000-03-01,56.2,2000-08-31,2000-09-01,41.0,2010-05-31,2010-06-04,43.0,2000-02-29,2000-03-03,-5.9,2010-02-28,2010-03-16,-4.3,2006-07-31,2006-08-24,919.0,2000-02-29,2000-03-29,1727.0,2002-09-30,2002-10-17,1781.0,2000-02-29,2000-03-16,67.4,2012-03-31,2012-04-03,13.3,2000-02-29,2000-02-17,0.1,2005-07-31,2005-09-01,1.0,2000-02-29,2000-03-31,1.5,2004-07-31,2004-08-30,0.4,2000-02-29,2000-03-31,62.8,2013-10-31,2013-11-08,-2.0,2005-12-31,2005-12-27,0.0,2001-07-31,2001-08-14,0.5,2012-02-29,2012-03-13,0.2,2001-07-31,2001-08-14,15.4,2003-02-28,2003-03-04,88.0,2009-12-31,2010-01-12,,,,12.9,2009-07-31,2009-09-01,-29.241,2000-02-29,2000-04-19,-60.5,2015-11-30,2015-12-29,4.1,2000-02-29,2000-03-03
3,128.0,2006-10-31,2006-11-01,0.0,2010-04-30,2010-05-07,813.0,2015-03-27,2015-03-27,57.4,2000-03-31,2000-03-31,136.7,2000-03-31,2000-03-28,107.0,2015-04-30,2015-05-01,2.6,2015-04-30,2015-05-01,107.1,2000-03-31,2000-03-31,0.7,2000-03-31,2000-04-14,1.9,2002-12-31,2003-01-16,2.4,2002-12-31,2003-01-16,0.4,2000-03-31,2000-04-14,2.6,2000-03-31,2000-04-26,-1.3,2002-02-28,2002-03-26,-8200.0,2001-06-08,2001-06-13,1.1,2003-02-28,2003-02-18,0.5,2014-04-30,2014-05-14,81.0,2004-11-30,2005-01-18,266.0,2000-01-21,2000-01-27,0.3,2000-03-31,2000-04-14,3063.0,2010-12-31,2011-02-08,6.1,2014-12-31,2015-01-12,,,,,,,,,,52.0,2008-04-30,2008-05-05,55.8,2000-03-31,2000-04-03,58.1,2000-09-30,2000-10-02,83.0,2010-06-30,2010-07-02,416.0,2000-03-31,2000-04-07,1.6,2010-03-31,2010-04-16,4.1,2006-08-31,2006-09-27,966.0,2000-03-31,2000-05-02,1763.0,2002-10-31,2002-11-20,1604.0,2000-03-31,2000-04-18,61.2,2012-04-30,2012-05-02,25.0,2000-03-31,2000-03-16,0.2,2005-08-31,2005-09-30,0.5,2000-03-31,2000-04-28,1.4,2004-08-31,2004-09-30,0.7,2000-03-31,2000-04-28,63.0,2013-11-30,2013-12-06,-4.0,2006-01-31,2006-01-24,0.3,2001-08-31,2001-09-14,0.4,2012-03-31,2012-04-16,0.5,2001-08-31,2001-09-14,16.2,2003-03-31,2003-04-01,89.3,2010-01-31,2010-02-09,,,,12.1,2009-08-31,2009-10-01,-30.2,2000-03-31,2000-05-19,-61.513000000000005,2015-12-31,2016-01-29,4.1,2000-03-31,2000-04-07
4,158.0,2006-11-30,2006-12-06,0.3,2010-05-31,2010-06-04,802.0,2015-04-03,2015-04-02,56.5,2000-04-30,2000-04-28,136.9,2000-04-30,2000-04-25,100.8,2015-05-31,2015-05-29,2.8,2015-05-31,2015-05-29,109.2,2000-04-30,2000-04-28,0.0,2000-04-30,2000-05-16,1.9,2003-01-31,2003-02-21,2.6,2003-01-31,2003-02-21,0.2,2000-04-30,2000-05-16,-6.4,2000-04-30,2000-05-26,-0.1,2002-03-31,2002-04-24,-700.0,2001-06-15,2001-06-20,-2.5,2003-03-31,2003-03-17,-0.1,2014-05-31,2014-06-13,61.3,2004-12-31,2005-02-15,274.0,2000-01-28,2000-02-03,0.9,2000-04-30,2000-05-15,2760.0,2011-01-31,2011-03-11,4.9,2015-01-31,2015-02-09,,,,,,,,,,51.7,2008-05-31,2008-06-04,54.9,2000-04-30,2000-05-01,56.5,2000-10-31,2000-11-01,71.0,2010-07-31,2010-08-06,340.0,2000-04-30,2000-05-05,5.8,2010-04-30,2010-05-18,5.3,2006-09-30,2006-10-26,909.0,2000-04-30,2000-05-31,1725.0,2002-11-30,2002-12-17,1663.0,2000-04-30,2000-05-16,49.9,2012-05-31,2012-06-04,12.8,2000-04-30,2000-04-20,0.2,2005-09-30,2005-10-31,0.4,2000-04-30,2000-05-26,1.5,2004-09-30,2004-11-01,0.7,2000-04-30,2000-05-26,62.8,2013-12-31,2014-01-10,0.0,2006-02-28,2006-02-28,-2.4,2001-09-30,2001-10-12,0.4,2012-04-30,2012-05-15,-1.6,2001-09-30,2001-10-12,16.5,2003-04-30,2003-05-01,88.0,2010-02-28,2010-03-09,,,,19.8,2009-09-30,2009-11-02,-30.4,2000-04-30,2000-06-20,-62.228,2016-01-31,2016-02-26,3.9,2000-04-30,2000-05-05
5,-40.0,2006-12-31,2007-01-03,-0.1,2010-06-30,2010-07-02,760.0,2015-04-10,2015-04-10,53.9,2000-05-31,2000-05-31,144.4,2000-05-31,2000-05-30,108.9,2015-06-30,2015-06-26,2.7,2015-06-30,2015-06-26,110.7,2000-05-31,2000-05-26,0.1,2000-05-31,2000-06-14,1.7,2003-02-28,2003-03-21,3.0,2003-02-28,2003-03-21,0.2,2000-05-31,2000-06-14,6.0,2000-05-31,2000-06-28,2.9,2002-04-30,2002-05-23,,,,-20.4,2003-04-30,2003-04-15,0.2,2014-06-30,2014-07-16,91.5,2005-01-31,2005-03-15,301.0,2000-02-04,2000-02-10,0.4,2000-05-31,2000-06-15,3093.0,2011-02-28,2011-04-13,4.0,2015-02-28,2015-03-09,,,,,,,,,,48.2,2008-06-30,2008-07-03,53.2,2000-05-31,2000-06-01,56.6,2000-11-30,2000-12-01,67.0,2010-08-31,2010-09-03,231.0,2000-05-31,2000-06-02,-10.0,2010-05-31,2010-06-16,-3.2,2006-10-31,2006-11-29,875.0,2000-05-31,2000-06-29,1880.0,2002-12-31,2003-01-21,1592.0,2000-05-31,2000-06-16,49.7,2012-06-30,2012-07-03,20.2,2000-05-31,2000-05-18,0.1,2005-10-31,2005-12-01,0.2,2000-05-31,2000-06-30,1.5,2004-10-31,2004-12-01,0.4,2000-05-31,2000-06-30,63.0,2014-01-31,2014-02-07,21.0,2006-03-31,2006-03-28,7.1,2001-10-31,2001-11-14,0.0,2012-05-31,2012-06-13,1.0,2001-10-31,2001-11-14,16.1,2003-05-31,2003-06-03,86.8,2010-03-31,2010-04-13,,,,28.6,2009-10-31,2009-12-01,-31.0,2000-05-31,2000-07-19,-62.864,2016-02-29,2016-03-28,4.1,2000-05-31,2000-06-02
6,152.0,2007-01-31,2007-01-31,0.2,2010-07-31,2010-08-06,734.0,2015-04-17,2015-04-17,56.8,2000-06-30,2000-06-30,138.8,2000-06-30,2000-06-27,107.2,2015-07-31,2015-07-31,2.8,2015-07-31,2015-07-31,106.4,2000-06-30,2000-06-30,0.6,2000-06-30,2000-07-18,1.7,2003-03-31,2003-04-16,3.0,2003-03-31,2003-04-16,0.2,2000-06-30,2000-07-18,10.0,2000-06-30,2000-07-27,0.6,2002-05-31,2002-06-26,-4800.0,2001-06-29,2001-07-05,10.6,2003-05-31,2003-05-15,0.2,2014-07-31,2014-08-15,84.5,2005-02-28,2005-04-15,283.0,2000-02-11,2000-02-17,0.2,2000-06-30,2000-07-14,3124.0,2011-03-31,2011-05-11,-0.3,2015-03-31,2015-04-06,,,,,,,,,,49.5,2008-07-31,2008-08-05,51.8,2000-06-30,2000-07-03,61.0,2000-12-31,2001-01-02,64.0,2010-09-30,2010-10-08,11.0,2000-06-30,2000-07-07,-5.0,2010-06-30,2010-07-20,3.4,2006-11-30,2006-12-27,829.0,2000-06-30,2000-08-02,1781.0,2003-01-31,2003-02-19,1554.0,2000-06-30,2000-07-20,55.2,2012-07-31,2012-08-02,1.7,2000-06-30,2000-06-15,0.1,2005-11-30,2005-12-22,0.5,2000-06-30,2000-08-01,1.5,2004-11-30,2004-12-23,0.4,2000-06-30,2000-08-01,63.0,2014-02-28,2014-03-07,18.0,2006-04-30,2006-04-25,-3.7,2001-11-30,2001-12-13,-0.1,2012-06-30,2012-07-16,-0.5,2001-11-30,2001-12-13,16.4,2003-06-30,2003-07-01,90.6,2010-04-30,2010-05-11,,,,19.3,2009-11-30,2010-01-05,-30.6,2000-06-30,2000-08-18,-56.9,2016-03-31,2016-04-27,4.0,2000-06-30,2000-07-07
7,57.0,2007-02-28,2007-03-07,0.3,2010-08-31,2010-09-03,703.0,2015-04-24,2015-04-24,52.0,2000-07-31,2000-07-31,141.7,2000-07-31,2000-07-25,105.1,2015-08-31,2015-08-28,2.8,2015-08-31,2015-08-28,108.3,2000-07-31,2000-07-28,0.2,2000-07-31,2000-08-16,1.5,2003-04-30,2003-05-16,2.2,2003-04-30,2003-05-16,0.2,2000-07-31,2000-08-16,-12.4,2000-07-31,2000-08-24,-3.1,2002-06-30,2002-07-25,-2900.0,2001-07-06,2001-07-11,26.8,2003-06-30,2003-06-16,0.1,2014-08-31,2014-09-16,45.7,2005-03-31,2005-05-16,278.0,2000-02-18,2000-02-24,0.4,2000-07-31,2000-08-15,2972.0,2011-04-30,2011-06-07,-1.9,2015-04-30,2015-05-11,,,,,,,,,,50.6,2008-08-31,2008-09-04,51.8,2000-07-31,2000-08-01,65.7,2001-01-31,2001-02-01,159.0,2010-10-31,2010-11-05,-108.0,2000-07-31,2000-08-04,1.7,2010-07-31,2010-08-17,4.8,2006-12-31,2007-01-26,944.0,2000-07-31,2000-08-29,1786.0,2003-02-28,2003-03-18,1512.0,2000-07-31,2000-08-16,51.4,2012-08-31,2012-09-05,0.7,2000-07-31,2000-07-20,0.1,2005-12-31,2006-01-30,0.6,2000-07-31,2000-08-28,1.5,2004-12-31,2005-01-31,0.3,2000-07-31,2000-08-28,63.2,2014-03-31,2014-04-04,1.0,2006-05-31,2006-05-23,-0.1,2001-12-31,2002-01-15,0.9,2012-07-31,2012-08-14,-0.1,2001-12-31,2002-01-15,17.3,2003-07-31,2003-08-01,92.2,2010-05-31,2010-06-08,,,,10.5,2009-12-31,2010-02-02,-31.9,2000-07-31,2000-09-20,-57.5,2016-04-30,2016-05-25,4.0,2000-07-31,2000-08-04
8,106.0,2007-03-31,2007-04-04,0.0,2010-09-30,2010-10-08,679.0,2015-05-01,2015-05-01,46.5,2000-08-31,2000-08-31,141.1,2000-08-31,2000-08-29,101.2,2015-09-30,2015-09-25,2.8,2015-09-30,2015-09-25,107.3,2000-08-31,2000-09-01,-0.1,2000-08-31,2000-09-15,1.6,2003-05-31,2003-06-17,2.1,2003-05-31,2003-06-17,0.2,2000-08-31,2000-09-15,2.9,2000-08-31,2000-09-27,3.9,2002-07-31,2002-08-27,7000.0,2001-07-13,2001-07-18,22.6,2003-07-31,2003-07-15,0.0,2014-09-30,2014-10-15,47.4,2005-04-30,2005-06-15,275.0,2000-02-25,2000-03-02,0.3,2000-08-31,2000-09-15,2974.0,2011-05-31,2011-07-12,1.3,2015-05-31,2015-06-08,,,,,,,,,,50.2,2008-09-30,2008-10-03,49.5,2000-08-31,2000-09-01,58.1,2001-02-28,2001-03-01,50.0,2010-11-30,2010-12-03,-105.0,2000-08-31,2000-09-01,10.5,2010-08-31,2010-09-21,-16.6,2007-01-31,2007-02-28,893.0,2000-08-31,2000-10-03,1685.0,2003-03-31,2003-04-16,1531.0,2000-08-31,2000-09-19,52.9,2012-09-30,2012-10-02,14.1,2000-08-31,2000-08-17,0.2,2006-01-31,2006-03-01,0.6,2000-08-31,2000-09-29,1.6,2005-01-31,2005-02-28,0.4,2000-08-31,2000-09-29,62.8,2014-04-30,2014-05-02,4.0,2006-06-30,2006-06-27,-0.2,2002-01-31,2002-02-13,-0.1,2012-08-31,2012-09-14,1.2,2002-01-31,2002-02-13,19.0,2003-08-31,2003-09-03,89.0,2010-06-30,2010-07-13,63.0,2002-09-30,2002-09-18,8.8,2010-01-31,2010-03-04,-29.4,2000-08-31,2000-10-19,-60.593999999999994,2016-05-31,2016-06-27,4.1,2000-08-31,2000-09-01
9,64.0,2007-04-30,2007-05-02,0.2,2010-10-31,2010-11-05,668.0,2015-05-08,2015-05-08,51.4,2000-09-30,2000-09-29,141.9,2000-09-30,2000-09-26,102.3,2015-10-31,2015-10-30,2.7,2015-10-31,2015-10-30,106.8,2000-09-30,2000-09-29,0.5,2000-09-30,2000-10-18,1.5,2003-06-30,2003-07-16,2.1,2003-06-30,2003-07-16,0.3,2000-09-30,2000-10-18,1.8,2000-09-30,2000-10-27,-0.9,2002-08-31,2002-09-26,1400.0,2001-07-20,2001-07-25,10.0,2003-08-31,2003-08-15,0.4,2014-10-31,2014-11-18,60.0,2005-05-31,2005-07-18,280.0,2000-03-03,2000-03-09,0.2,2000-09-30,2000-10-17,3109.0,2011-06-30,2011-08-10,0.8,2015-06-30,2015-07-06,,,,,,,,,,44.4,2008-10-31,2008-11-05,49.9,2000-09-30,2000-10-02,49.9,2001-03-31,2001-04-02,113.0,2010-12-31,2011-01-07,252.0,2000-09-30,2000-10-06,0.3,2010-09-30,2010-10-19,-3.9,2007-02-28,2007-03-26,946.0,2000-09-30,2000-10-31,1708.0,2003-04-30,2003-05-16,1530.0,2000-09-30,2000-10-18,45.9,2012-10-31,2012-11-06,8.2,2000-09-30,2000-09-21,0.1,2006-02-28,2006-03-31,0.8,2000-09-30,2000-10-30,1.6,2005-02-28,2005-03-31,1.1,2000-09-30,2000-10-30,62.8,2014-05-31,2014-06-06,12.0,2006-07-31,2006-07-25,0.3,2002-02-28,2002-03-13,0.9,2012-09-30,2012-10-15,0.2,2002-02-28,2002-03-13,16.7,2003-09-30,2003-10-01,88.1,2010-07-31,2010-08-10,62.0,2002-10-31,2002-10-16,17.3,2010-02-28,2010-04-05,-34.3,2000-09-30,2000-11-21,-63.3,2016-06-30,2016-07-28,3.9,2000-09-30,2000-10-06
