DATE,PAYEMS,GDPC1,CPIAUCSL,DGORDER,RSAFS,HSN1F,HOUST,UNRATE,INDPRO,PPIFIS,NPPTTL,GACDISA066MSFRBNY,I42IMSM144SCEN,TTLCONS,GACDFSA066MSFRBPHI,NAPM,NMFCI,NAPMPRI,NAPMEI,IR,PERMIT,TCU,PCEPILFE,CPILFESL,BUSINV,ULCNFB,JTSJOL,PCEC96,PCEPI,IQ,AMDMVS,AMTMUO,AMDMTI,A261RX1Q020SBEA,DSPIC96,BOPTEXP,BOPTIMP
1/1/1985,96372,7824.247,105.7,,,645,1711,7.3,56.1398,,,,,,5.5,50.3,,47.6,44.4,,1660,79.9174,53.053,107.1,,64.897,,,52.283,,,,,7751.973,5802.3,,
2/1/1985,96503,,106.3,,,682,1632,7.2,56.3323,,,,,,10.9,49.9,,44.8,45.2,,1662,79.9866,53.328,107.7,,,,,52.527,,,,,,5748.5,,
3/1/1985,96842,,106.8,,,671,1800,7.2,56.4232,,,,,,31,47.8,,46.2,44.2,75.5,1727,79.9116,53.515,108.1,,,,,52.732,84,,,,,5721.9,,
4/1/1985,97038,7893.136,107,,,620,1821,7.3,56.2693,,,,,,10,48.2,,44.1,43.2,,1664,79.494,53.579,108.4,,65.311,,,52.808,,,,,7807.175,5816.7,,
5/1/1985,97312,,107.2,,,678,1680,7.2,56.3488,,,,,,8,47.1,,48.7,40.4,,1709,79.4114,53.764,108.8,,,,,52.934,,,,,,5958.5,,
6/1/1985,97459,,107.5,,,722,1676,7.4,56.3901,,,,,,-2.4,47.8,,42.4,44.5,75.8,1716,79.2816,53.941,109.1,,,,,53.078,84.4,,,,,5833.4,,
7/1/1985,97648,8013.674,107.7,,,766,1684,7.4,56.0234,,,,,,11.5,47.9,,45.6,45.2,,1697,78.5898,54.099,109.4,,65.446,,,53.208,,,,,7901.826,5845.8,,
8/1/1985,97840,,107.9,,,726,1743,7.1,56.2555,,,,,,6.9,47.7,,44,41.1,,1808,78.7499,54.364,109.8,,,,,53.384,,,,,,5841.5,,
9/1/1985,98045,,108.1,,,678,1676,7.1,56.4983,,,,,,2.3,49.9,,44.3,41.8,76,1916,78.9362,54.477,110,,,,,53.474,83.7,,,,,5866.4,,
10/1/1985,98233,8073.239,108.5,,,655,1834,7.1,56.2648,,,,,,6.2,50.9,,46.4,45.2,,1743,78.4701,54.564,110.5,,66.418,,,53.563,,,,,7946.057,5895.5,,
